bigram,count,codepoints,unicode_names
အဴ,161,U+1021 U+1034,MYANMAR LETTER A | MYANMAR VOWEL SIGN MON O
ဂု,157,U+1002 U+102F,MYANMAR LETTER GA | MYANMAR VOWEL SIGN U
ာၚ,157,U+102C U+105A,MYANMAR VOWEL SIGN AA | MYANMAR LETTER MON NGA
်ဟ,156,U+103A U+101F,MYANMAR SIGN ASAT | MYANMAR LETTER HA
ုဏ,155,U+102F U+100F,MYANMAR VOWEL SIGN U | MYANMAR LETTER NNA
ာတ,154,U+102C U+1010,MYANMAR VOWEL SIGN AA | MYANMAR LETTER TA
ၠေ,154,U+1060 U+1031,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN E
ံက,151,U+1036 U+1000,MYANMAR SIGN ANUSVARA | MYANMAR LETTER KA
ပ္,150,U+1015 U+1039,MYANMAR LETTER PA | MYANMAR SIGN VIRAMA
္တ,148,U+1039 U+1010,MYANMAR SIGN VIRAMA | MYANMAR LETTER TA
္ၚ,146,U+1039 U+105A,MYANMAR SIGN VIRAMA | MYANMAR LETTER MON NGA
်ဏ,139,U+103A U+100F,MYANMAR SIGN ASAT | MYANMAR LETTER NNA
ဏ်,138,U+100F U+103A,MYANMAR LETTER NNA | MYANMAR SIGN ASAT
ာက,133,U+102C U+1000,MYANMAR VOWEL SIGN AA | MYANMAR LETTER KA
ခိ,132,U+1001 U+102D,MYANMAR LETTER KHA | MYANMAR VOWEL SIGN I
ဟွ,131,U+101F U+103D,MYANMAR LETTER HA | MYANMAR CONSONANT SIGN MEDIAL WA
မံ,131,U+1019 U+1036,MYANMAR LETTER MA | MYANMAR SIGN ANUSVARA
ေံ,130,U+1031 U+1036,MYANMAR VOWEL SIGN E | MYANMAR SIGN ANUSVARA
ံတ,129,U+1036 U+1010,MYANMAR SIGN ANUSVARA | MYANMAR LETTER TA
ပြ,127,U+1015 U+103C,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MEDIAL RA
ကီ,127,U+1000 U+102E,MYANMAR LETTER KA | MYANMAR VOWEL SIGN II
မိ,127,U+1019 U+102D,MYANMAR LETTER MA | MYANMAR VOWEL SIGN I
သွ,126,U+101E U+103D,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MEDIAL WA
ေဝ,124,U+1031 U+101D,MYANMAR VOWEL SIGN E | MYANMAR LETTER WA
မာ,124,U+1019 U+102C,MYANMAR LETTER MA | MYANMAR VOWEL SIGN AA
ွက,123,U+103D U+1000,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR LETTER KA
ပတ,121,U+1015 U+1010,MYANMAR LETTER PA | MYANMAR LETTER TA
ဂက,119,U+1002 U+1000,MYANMAR LETTER GA | MYANMAR LETTER KA
နာ,118,U+1014 U+102C,MYANMAR LETTER NA | MYANMAR VOWEL SIGN AA
ေတ,118,U+1031 U+1010,MYANMAR VOWEL SIGN E | MYANMAR LETTER TA
်။,116,U+103A U+104B,MYANMAR SIGN ASAT | MYANMAR SIGN SECTION
အာ,115,U+1021 U+102C,MYANMAR LETTER A | MYANMAR VOWEL SIGN AA
ၞေ,113,U+105E U+1031,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN E
ကု,112,U+1000 U+102F,MYANMAR LETTER KA | MYANMAR VOWEL SIGN U
ဲမ,112,U+1032 U+1019,MYANMAR VOWEL SIGN AI | MYANMAR LETTER MA
သာ,112,U+101E U+102C,MYANMAR LETTER SA | MYANMAR VOWEL SIGN AA
်ဇ,110,U+103A U+1007,MYANMAR SIGN ASAT | MYANMAR LETTER JA
ံဂ,108,U+1036 U+1002,MYANMAR SIGN ANUSVARA | MYANMAR LETTER GA
ရာ,104,U+101B U+102C,MYANMAR LETTER RA | MYANMAR VOWEL SIGN AA
ရက,103,U+101B U+1000,MYANMAR LETTER RA | MYANMAR LETTER KA
်ခ,102,U+103A U+1001,MYANMAR SIGN ASAT | MYANMAR LETTER KHA
ပိ,101,U+1015 U+102D,MYANMAR LETTER PA | MYANMAR VOWEL SIGN I
ာမ,100,U+102C U+1019,MYANMAR VOWEL SIGN AA | MYANMAR LETTER MA
တၚ,100,U+1010 U+105A,MYANMAR LETTER TA | MYANMAR LETTER MON NGA
ညာ,99,U+100A U+102C,MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN AA
ဒှ,99,U+1012 U+103E,MYANMAR LETTER DA | MYANMAR CONSONANT SIGN MEDIAL HA
ဗှ,99,U+1017 U+103E,MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MEDIAL HA
တ္,98,U+1010 U+1039,MYANMAR LETTER TA | MYANMAR SIGN VIRAMA
စိ,98,U+1005 U+102D,MYANMAR LETTER CA | MYANMAR VOWEL SIGN I
ၠိ,96,U+1060 U+102D,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN I
ရအ,96,U+101B U+1021,MYANMAR LETTER RA | MYANMAR LETTER A
ဘာ,96,U+1018 U+102C,MYANMAR LETTER BHA | MYANMAR VOWEL SIGN AA
ံပ,96,U+1036 U+1015,MYANMAR SIGN ANUSVARA | MYANMAR LETTER PA
မၠ,95,U+1019 U+1060,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ုလ,95,U+102F U+101C,MYANMAR VOWEL SIGN U | MYANMAR LETTER LA
ဟာ,95,U+101F U+102C,MYANMAR LETTER HA | MYANMAR VOWEL SIGN AA
စာ,95,U+1005 U+102C,MYANMAR LETTER CA | MYANMAR VOWEL SIGN AA
ုည,94,U+102F U+100A,MYANMAR VOWEL SIGN U | MYANMAR LETTER NNYA
လ္,94,U+101C U+1039,MYANMAR LETTER LA | MYANMAR SIGN VIRAMA
ပါ,93,U+1015 U+102B,MYANMAR LETTER PA | MYANMAR VOWEL SIGN TALL AA
ဏံ,92,U+100F U+1036,MYANMAR LETTER NNA | MYANMAR SIGN ANUSVARA
ၟိ,91,U+105F U+102D,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR VOWEL SIGN I
ဂၠ,91,U+1002 U+1060,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ကိ,91,U+1000 U+102D,MYANMAR LETTER KA | MYANMAR VOWEL SIGN I
တေ,90,U+1010 U+1031,MYANMAR LETTER TA | MYANMAR VOWEL SIGN E
ပရ,90,U+1015 U+101B,MYANMAR LETTER PA | MYANMAR LETTER RA
်ဝ,89,U+103A U+101D,MYANMAR SIGN ASAT | MYANMAR LETTER WA
ာဝ,89,U+102C U+101D,MYANMAR VOWEL SIGN AA | MYANMAR LETTER WA
တံ,87,U+1010 U+1036,MYANMAR LETTER TA | MYANMAR SIGN ANUSVARA
ံလ,86,U+1036 U+101C,MYANMAR SIGN ANUSVARA | MYANMAR LETTER LA
ုမ,86,U+102F U+1019,MYANMAR VOWEL SIGN U | MYANMAR LETTER MA
္ဍ,86,U+1039 U+100D,MYANMAR SIGN VIRAMA | MYANMAR LETTER DDA
ံသ,84,U+1036 U+101E,MYANMAR SIGN ANUSVARA | MYANMAR LETTER SA
အိ,84,U+1021 U+102D,MYANMAR LETTER A | MYANMAR VOWEL SIGN I
အု,83,U+1021 U+102F,MYANMAR LETTER A | MYANMAR VOWEL SIGN U
တၠ,82,U+1010 U+1060,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ြေ,82,U+103C U+1031,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN E
ံရ,81,U+1036 U+101B,MYANMAR SIGN ANUSVARA | MYANMAR LETTER RA
ဗွ,81,U+1017 U+103D,MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MEDIAL WA
ုရ,80,U+102F U+101B,MYANMAR VOWEL SIGN U | MYANMAR LETTER RA
မၞ,80,U+1019 U+105E,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ဒး,80,U+1012 U+1038,MYANMAR LETTER DA | MYANMAR SIGN VISARGA
ဇက,80,U+1007 U+1000,MYANMAR LETTER JA | MYANMAR LETTER KA
တၟ,79,U+1010 U+105F,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL MA
ာသ,79,U+102C U+101E,MYANMAR VOWEL SIGN AA | MYANMAR LETTER SA
စက,78,U+1005 U+1000,MYANMAR LETTER CA | MYANMAR LETTER KA
ိတ,77,U+102D U+1010,MYANMAR VOWEL SIGN I | MYANMAR LETTER TA
ုဂ,77,U+102F U+1002,MYANMAR VOWEL SIGN U | MYANMAR LETTER GA
်ထ,75,U+103A U+1011,MYANMAR SIGN ASAT | MYANMAR LETTER THA
တြ,75,U+1010 U+103C,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MEDIAL RA
တအ,74,U+1010 U+1021,MYANMAR LETTER TA | MYANMAR LETTER A
းက,73,U+1038 U+1000,MYANMAR SIGN VISARGA | MYANMAR LETTER KA
ာဂ,72,U+102C U+1002,MYANMAR VOWEL SIGN AA | MYANMAR LETTER GA
အခ,72,U+1021 U+1001,MYANMAR LETTER A | MYANMAR LETTER KHA
