file,characters_counted,all_text_length,nga_to_mon_nga_replacements,status
telegram_mot_tip_ebook/msg_20260122_173335_1562.txt,113,126,6,ok
telegram_mot_tip_ebook/msg_20260427_213939_15.txt,18,18,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_101.txt,16,17,0,ok
telegram_mot_tip_ebook/msg_20260122_173046_88.txt,54,61,0,ok
telegram_mot_tip_ebook/msg_20260122_173046_95.txt,94,97,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_360.txt,4,4,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_495.txt,15,16,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_438.txt,332,383,11,ok
telegram_mot_tip_ebook/msg_20260122_174045_1404.txt,26,27,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_649.txt,21,22,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2695.txt,33,35,1,ok
telegram_mot_tip_ebook/msg_20260122_173046_392.txt,78,88,3,ok
telegram_mot_tip_ebook/msg_20260427_213939_370.txt,16,17,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_1444.txt,61,64,3,ok
telegram_mot_tip_ebook/msg_20260122_173046_306.txt,88,106,2,ok
telegram_mot_tip_ebook/msg_20260427_213939_313.txt,40,42,0,ok
telegram_mot_tip_ebook/msg_20260122_173046_24.txt,50,76,0,ok
telegram_mot_tip_ebook/msg_20260122_174338_1229.txt,0,3,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_1473.txt,10,14,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_770.txt,277,323,6,ok
telegram_mot_tip_ebook/msg_20260122_174045_650.txt,26,42,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_1039.txt,10,10,1,ok
telegram_mot_tip_ebook/msg_20260122_173335_88.txt,54,61,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_59.txt,60,62,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_62.txt,10,10,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_500.txt,50,57,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_1760.txt,6,15,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_26.txt,50,76,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_1504.txt,12,18,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_132.txt,66,70,3,ok
telegram_mot_tip_ebook/msg_20260427_213939_8.txt,29,30,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_253.txt,3,3,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_226.txt,60,68,0,ok
telegram_mot_tip_ebook/msg_20260122_173046_184.txt,92,102,2,ok
telegram_mot_tip_ebook/msg_20260427_213939_558.txt,9,9,1,ok
telegram_mot_tip_ebook/msg_20260122_173335_544.txt,193,220,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_576.txt,185,239,8,ok
telegram_mot_tip_ebook/msg_20260427_213939_500.txt,23,24,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_298.txt,43,44,1,ok
telegram_mot_tip_ebook/msg_20260427_213939_492.txt,0,9,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_44.txt,103,122,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_434.txt,15,15,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_256.txt,32,45,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_769.txt,306,354,18,ok
telegram_mot_tip_ebook/msg_20260122_173046_61.txt,85,99,0,ok
telegram_mot_tip_ebook/msg_20260122_174338_2429.txt,3,3,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2370.txt,17,21,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_2676.txt,38,39,3,ok
telegram_mot_tip_ebook/msg_20260122_173335_400.txt,52,64,3,ok
telegram_mot_tip_ebook/msg_20260122_173335_1468.txt,48,65,1,ok
telegram_mot_tip_ebook/msg_20260427_213939_320.txt,22,34,2,ok
telegram_mot_tip_ebook/msg_20260427_213939_212.txt,13,121,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_389.txt,21,23,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2292.txt,21,21,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_11.txt,15,15,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_1402.txt,18,18,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_2451.txt,68,71,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2327.txt,23,23,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_60.txt,21,21,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_384.txt,6,28,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_2171.txt,166,204,2,ok
telegram_mot_tip_ebook/msg_20260122_173335_111.txt,51,55,1,ok
telegram_mot_tip_ebook/msg_20260122_173046_144.txt,104,108,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_1058.txt,163,417,2,ok
telegram_mot_tip_ebook/msg_20260122_173335_1344.txt,660,728,19,ok
telegram_mot_tip_ebook/msg_20260122_173335_153.txt,101,113,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_1408.txt,60,63,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_163.txt,10,10,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_367.txt,193,217,2,ok
telegram_mot_tip_ebook/msg_20260122_174045_980.txt,26,38,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_283.txt,23,23,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2679.txt,25,27,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_2473.txt,875,1102,1,ok
telegram_mot_tip_ebook/msg_20260122_173335_2170.txt,1112,1299,35,ok
telegram_mot_tip_ebook/msg_20260122_174045_404.txt,34,41,2,ok
telegram_mot_tip_ebook/msg_20260122_174045_1489.txt,27,36,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_2426.txt,10,10,0,ok
telegram_mot_tip_ebook/msg_20260122_174338_105.txt,8,8,0,ok
