trigram,count,codepoints,unicode_names
္စဇ,6,U+1039 U+1005 U+1007,MYANMAR SIGN VIRAMA | MYANMAR LETTER CA | MYANMAR LETTER JA
စဇၞ,6,U+1005 U+1007 U+105E,MYANMAR LETTER CA | MYANMAR LETTER JA | MYANMAR CONSONANT SIGN MON MEDIAL NA
။ပရ,6,U+104B U+1015 U+101B,MYANMAR SIGN SECTION | MYANMAR LETTER PA | MYANMAR LETTER RA
်ဗဵ,6,U+103A U+1017 U+1035,MYANMAR SIGN ASAT | MYANMAR LETTER BA | MYANMAR VOWEL SIGN E ABOVE
မှာ,6,U+1019 U+103E U+102C,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR VOWEL SIGN AA
်မပ,6,U+103A U+1019 U+1015,MYANMAR SIGN ASAT | MYANMAR LETTER MA | MYANMAR LETTER PA
ွဵု,6,U+103D U+1035 U+102F,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN E ABOVE | MYANMAR VOWEL SIGN U
တံတ,6,U+1010 U+1036 U+1010,MYANMAR LETTER TA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER TA
န်ယ,6,U+1014 U+103A U+101A,MYANMAR LETTER NA | MYANMAR SIGN ASAT | MYANMAR LETTER YA
ိမွ,6,U+102D U+1019 U+103D,MYANMAR VOWEL SIGN I | MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MEDIAL WA
ံတံ,6,U+1036 U+1010 U+1036,MYANMAR SIGN ANUSVARA | MYANMAR LETTER TA | MYANMAR SIGN ANUSVARA
းတၞ,6,U+1038 U+1010 U+105E,MYANMAR SIGN VISARGA | MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ုပရ,6,U+102F U+1015 U+101B,MYANMAR VOWEL SIGN U | MYANMAR LETTER PA | MYANMAR LETTER RA
ဏံတ,6,U+100F U+1036 U+1010,MYANMAR LETTER NNA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER TA
ချိ,6,U+1001 U+103B U+102D,MYANMAR LETTER KHA | MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN I
ာဲဂ,6,U+102C U+1032 U+1002,MYANMAR VOWEL SIGN AA | MYANMAR VOWEL SIGN AI | MYANMAR LETTER GA
မံက,6,U+1019 U+1036 U+1000,MYANMAR LETTER MA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER KA
ြာက,6,U+103C U+102C U+1000,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER KA
သဘၚ,6,U+101E U+1018 U+105A,MYANMAR LETTER SA | MYANMAR LETTER BHA | MYANMAR LETTER MON NGA
အ်ဒ,6,U+1021 U+103A U+1012,MYANMAR LETTER A | MYANMAR SIGN ASAT | MYANMAR LETTER DA
သၠရ,6,U+101E U+1060 U+101B,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR LETTER RA
ၠရိ,6,U+1060 U+101B U+102D,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR LETTER RA | MYANMAR VOWEL SIGN I
ာ်ဝ,6,U+102C U+103A U+101D,MYANMAR VOWEL SIGN AA | MYANMAR SIGN ASAT | MYANMAR LETTER WA
ဒုတ,6,U+1012 U+102F U+1010,MYANMAR LETTER DA | MYANMAR VOWEL SIGN U | MYANMAR LETTER TA
ၟုည,6,U+105F U+102F U+100A,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR VOWEL SIGN U | MYANMAR LETTER NNYA
။အု,6,U+104B U+1021 U+102F,MYANMAR SIGN SECTION | MYANMAR LETTER A | MYANMAR VOWEL SIGN U
ဲဂိ,6,U+1032 U+1002 U+102D,MYANMAR VOWEL SIGN AI | MYANMAR LETTER GA | MYANMAR VOWEL SIGN I
ဲထဝ,6,U+1032 U+1011 U+101D,MYANMAR VOWEL SIGN AI | MYANMAR LETTER THA | MYANMAR LETTER WA
ူလဝ,6,U+1030 U+101C U+101D,MYANMAR VOWEL SIGN UU | MYANMAR LETTER LA | MYANMAR LETTER WA
တြဟ,6,U+1010 U+103C U+101F,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR LETTER HA
ုံပ,6,U+102F U+1036 U+1015,MYANMAR VOWEL SIGN U | MYANMAR SIGN ANUSVARA | MYANMAR LETTER PA
္ကေ,6,U+1039 U+1000 U+1031,MYANMAR SIGN VIRAMA | MYANMAR LETTER KA | MYANMAR VOWEL SIGN E
ုဟိ,6,U+102F U+101F U+102D,MYANMAR VOWEL SIGN U | MYANMAR LETTER HA | MYANMAR VOWEL SIGN I
ဆေၚ,6,U+1006 U+1031 U+105A,MYANMAR LETTER CHA | MYANMAR VOWEL SIGN E | MYANMAR LETTER MON NGA
ုံက,6,U+102F U+1036 U+1000,MYANMAR VOWEL SIGN U | MYANMAR SIGN ANUSVARA | MYANMAR LETTER KA
ရ။စ,6,U+101B U+104B U+1005,MYANMAR LETTER RA | MYANMAR SIGN SECTION | MYANMAR LETTER CA
အ်အ,6,U+1021 U+103A U+1021,MYANMAR LETTER A | MYANMAR SIGN ASAT | MYANMAR LETTER A
အ်ရ,6,U+1021 U+103A U+101B,MYANMAR LETTER A | MYANMAR SIGN ASAT | MYANMAR LETTER RA
ရပ်,6,U+101B U+1015 U+103A,MYANMAR LETTER RA | MYANMAR LETTER PA | MYANMAR SIGN ASAT
အာဂ,6,U+1021 U+102C U+1002,MYANMAR LETTER A | MYANMAR VOWEL SIGN AA | MYANMAR LETTER GA
ချပ,6,U+1001 U+103B U+1015,MYANMAR LETTER KHA | MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR LETTER PA
ဒးဗ,6,U+1012 U+1038 U+1017,MYANMAR LETTER DA | MYANMAR SIGN VISARGA | MYANMAR LETTER BA
ဒးဂ,6,U+1012 U+1038 U+1002,MYANMAR LETTER DA | MYANMAR SIGN VISARGA | MYANMAR LETTER GA
်မေ,6,U+103A U+1019 U+1031,MYANMAR SIGN ASAT | MYANMAR LETTER MA | MYANMAR VOWEL SIGN E
။တၞ,6,U+104B U+1010 U+105E,MYANMAR SIGN SECTION | MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL NA
လပါ,6,U+101C U+1015 U+102B,MYANMAR LETTER LA | MYANMAR LETTER PA | MYANMAR VOWEL SIGN TALL AA
ဲဍု,6,U+1032 U+100D U+102F,MYANMAR VOWEL SIGN AI | MYANMAR LETTER DDA | MYANMAR VOWEL SIGN U
ဍဲသ,6,U+100D U+1032 U+101E,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN AI | MYANMAR LETTER SA
ရ။ခ,6,U+101B U+104B U+1001,MYANMAR LETTER RA | MYANMAR SIGN SECTION | MYANMAR LETTER KHA
္ၚဳ,6,U+1039 U+105A U+1033,MYANMAR SIGN VIRAMA | MYANMAR LETTER MON NGA | MYANMAR VOWEL SIGN MON II
လက်,6,U+101C U+1000 U+103A,MYANMAR LETTER LA | MYANMAR LETTER KA | MYANMAR SIGN ASAT
းမိ,6,U+1038 U+1019 U+102D,MYANMAR SIGN VISARGA | MYANMAR LETTER MA | MYANMAR VOWEL SIGN I
ဂြန,6,U+1002 U+103C U+1014,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR LETTER NA
ာလေ,6,U+102C U+101C U+1031,MYANMAR VOWEL SIGN AA | MYANMAR LETTER LA | MYANMAR VOWEL SIGN E
ွဲန,6,U+103D U+1032 U+1014,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN AI | MYANMAR LETTER NA
ူဍု,6,U+1030 U+100D U+102F,MYANMAR VOWEL SIGN UU | MYANMAR LETTER DDA | MYANMAR VOWEL SIGN U
ာကု,6,U+102C U+1000 U+102F,MYANMAR VOWEL SIGN AA | MYANMAR LETTER KA | MYANMAR VOWEL SIGN U
ရ။သ,6,U+101B U+104B U+101E,MYANMAR LETTER RA | MYANMAR SIGN SECTION | MYANMAR LETTER SA
၊ဍု,6,U+104A U+100D U+102F,MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER DDA | MYANMAR VOWEL SIGN U
ဒဂု,6,U+1012 U+1002 U+102F,MYANMAR LETTER DA | MYANMAR LETTER GA | MYANMAR VOWEL SIGN U
်ပထ,6,U+103A U+1015 U+1011,MYANMAR SIGN ASAT | MYANMAR LETTER PA | MYANMAR LETTER THA
ိဓရ,6,U+102D U+1013 U+101B,MYANMAR VOWEL SIGN I | MYANMAR LETTER DHA | MYANMAR LETTER RA
ဂးအ,6,U+1002 U+1038 U+1021,MYANMAR LETTER GA | MYANMAR SIGN VISARGA | MYANMAR LETTER A
သက်,6,U+101E U+1000 U+103A,MYANMAR LETTER SA | MYANMAR LETTER KA | MYANMAR SIGN ASAT
ဲပတ,6,U+1032 U+1015 U+1010,MYANMAR VOWEL SIGN AI | MYANMAR LETTER PA | MYANMAR LETTER TA
ံစု,6,U+1036 U+1005 U+102F,MYANMAR SIGN ANUSVARA | MYANMAR LETTER CA | MYANMAR VOWEL SIGN U
ီမ္,6,U+102E U+1019 U+1039,MYANMAR VOWEL SIGN II | MYANMAR LETTER MA | MYANMAR SIGN VIRAMA
ျကျ,6,U+103B U+1000 U+103B,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL YA
မာံ,6,U+1019 U+102C U+1036,MYANMAR LETTER MA | MYANMAR VOWEL SIGN AA | MYANMAR SIGN ANUSVARA
းမပ,6,U+1038 U+1019 U+1015,MYANMAR SIGN VISARGA | MYANMAR LETTER MA | MYANMAR LETTER PA
ွံယ,6,U+103D U+1036 U+101A,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER YA
ဲယျ,6,U+1032 U+101A U+103B,MYANMAR VOWEL SIGN AI | MYANMAR LETTER YA | MYANMAR CONSONANT SIGN MEDIAL YA
ကၠိ,6,U+1000 U+1060 U+102D,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN I
သြိ,6,U+101E U+103C U+102D,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN I
ဵုဏ,6,U+1035 U+102F U+100F,MYANMAR VOWEL SIGN E ABOVE | MYANMAR VOWEL SIGN U | MYANMAR LETTER NNA
တြဲ,6,U+1010 U+103C U+1032,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN AI
်၁၀,6,U+103A U+1041 U+1040,MYANMAR SIGN ASAT | MYANMAR DIGIT ONE | MYANMAR DIGIT ZERO
ာမွ,6,U+102C U+1019 U+103D,MYANMAR VOWEL SIGN AA | MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MEDIAL WA
ညှာ,6,U+100A U+103E U+102C,MYANMAR LETTER NNYA | MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR VOWEL SIGN AA
ံမိ,6,U+1036 U+1019 U+102D,MYANMAR SIGN ANUSVARA | MYANMAR LETTER MA | MYANMAR VOWEL SIGN I
စာပ,6,U+1005 U+102C U+1015,MYANMAR LETTER CA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER PA
ဗပေ,6,U+1017 U+1015 U+1031,MYANMAR LETTER BA | MYANMAR LETTER PA | MYANMAR VOWEL SIGN E
။ကမ,6,U+104B U+1000 U+1019,MYANMAR SIGN SECTION | MYANMAR LETTER KA | MYANMAR LETTER MA
၊ကမ,6,U+104A U+1000 U+1019,MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER KA | MYANMAR LETTER MA
ံဒး,6,U+1036 U+1012 U+1038,MYANMAR SIGN ANUSVARA | MYANMAR LETTER DA | MYANMAR SIGN VISARGA
ုတၚ,6,U+102F U+1010 U+105A,MYANMAR VOWEL SIGN U | MYANMAR LETTER TA | MYANMAR LETTER MON NGA
ုအခ,6,U+102F U+1021 U+1001,MYANMAR VOWEL SIGN U | MYANMAR LETTER A | MYANMAR LETTER KHA
ိ။မ,6,U+102D U+104B U+1019,MYANMAR VOWEL SIGN I | MYANMAR SIGN SECTION | MYANMAR LETTER MA
ုတအ,6,U+102F U+1010 U+1021,MYANMAR VOWEL SIGN U | MYANMAR LETTER TA | MYANMAR LETTER A
၊သွ,6,U+104A U+101E U+103D,MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MEDIAL WA
ုမၞ,6,U+102F U+1019 U+105E,MYANMAR VOWEL SIGN U | MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MON MEDIAL NA
၊ဗီ,6,U+104A U+1017 U+102E,MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER BA | MYANMAR VOWEL SIGN II
ဇၞး,6,U+1007 U+105E U+1038,MYANMAR LETTER JA | MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR SIGN VISARGA
်ၚု,6,U+103A U+105A U+102F,MYANMAR SIGN ASAT | MYANMAR LETTER MON NGA | MYANMAR VOWEL SIGN U
။စိ,6,U+104B U+1005 U+102D,MYANMAR SIGN SECTION | MYANMAR LETTER CA | MYANMAR VOWEL SIGN I
်ပက,6,U+103A U+1015 U+1000,MYANMAR SIGN ASAT | MYANMAR LETTER PA | MYANMAR LETTER KA
စေဝ,6,U+1005 U+1031 U+101D,MYANMAR LETTER CA | MYANMAR VOWEL SIGN E | MYANMAR LETTER WA
်ရ၊,6,U+103A U+101B U+104A,MYANMAR SIGN ASAT | MYANMAR LETTER RA | MYANMAR SIGN LITTLE SECTION
ညိ၊,6,U+100A U+102D U+104A,MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN I | MYANMAR SIGN LITTLE SECTION
်ေအ,6,U+103A U+1031 U+1021,MYANMAR SIGN ASAT | MYANMAR VOWEL SIGN E | MYANMAR LETTER A
်းခ,6,U+103A U+1038 U+1001,MYANMAR SIGN ASAT | MYANMAR SIGN VISARGA | MYANMAR LETTER KHA
ၚ်ဘ,6,U+105A U+103A U+1018,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT | MYANMAR LETTER BHA
ပါမ,6,U+1015 U+102B U+1019,MYANMAR LETTER PA | MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER MA
တရး,6,U+1010 U+101B U+1038,MYANMAR LETTER TA | MYANMAR LETTER RA | MYANMAR SIGN VISARGA
်တဴ,6,U+103A U+1010 U+1034,MYANMAR SIGN ASAT | MYANMAR LETTER TA | MYANMAR VOWEL SIGN MON O
ူဆာ,6,U+1030 U+1006 U+102C,MYANMAR VOWEL SIGN UU | MYANMAR LETTER CHA | MYANMAR VOWEL SIGN AA
ရမျ,6,U+101B U+1019 U+103B,MYANMAR LETTER RA | MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MEDIAL YA
ျာၚ,6,U+103B U+102C U+105A,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER MON NGA
ဲသဳ,6,U+1032 U+101E U+1033,MYANMAR VOWEL SIGN AI | MYANMAR LETTER SA | MYANMAR VOWEL SIGN MON II
၀၀သ,6,U+1040 U+1040 U+101E,MYANMAR DIGIT ZERO | MYANMAR DIGIT ZERO | MYANMAR LETTER SA
ဲတိ,5,U+1032 U+1010 U+102D,MYANMAR VOWEL SIGN AI | MYANMAR LETTER TA | MYANMAR VOWEL SIGN I
်ခြ,5,U+103A U+1001 U+103C,MYANMAR SIGN ASAT | MYANMAR LETTER KHA | MYANMAR CONSONANT SIGN MEDIAL RA
ာဏ်,5,U+102C U+100F U+103A,MYANMAR VOWEL SIGN AA | MYANMAR LETTER NNA | MYANMAR SIGN ASAT
သြဝ,5,U+101E U+103C U+101D,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR LETTER WA
ြဝ်,5,U+103C U+101D U+103A,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR LETTER WA | MYANMAR SIGN ASAT
က္လ,5,U+1000 U+1039 U+101C,MYANMAR LETTER KA | MYANMAR SIGN VIRAMA | MYANMAR LETTER LA
ကွတ,5,U+1000 U+103D U+1010,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR LETTER TA
ၠးတ,5,U+1060 U+1038 U+1010,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR SIGN VISARGA | MYANMAR LETTER TA
ဏာရ,5,U+100F U+102C U+101B,MYANMAR LETTER NNA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER RA
ၟံမ,5,U+105F U+1036 U+1019,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER MA
ါလု,5,U+102B U+101C U+102F,MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER LA | MYANMAR VOWEL SIGN U
ဳကၠ,5,U+1033 U+1000 U+1060,MYANMAR VOWEL SIGN MON II | MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ကၠဳ,5,U+1000 U+1060 U+1033,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN MON II
ဏာဗ,5,U+100F U+102C U+1017,MYANMAR LETTER NNA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER BA
ရဴလ,5,U+101B U+1034 U+101C,MYANMAR LETTER RA | MYANMAR VOWEL SIGN MON O | MYANMAR LETTER LA
ာ်ဗ,5,U+102C U+103A U+1017,MYANMAR VOWEL SIGN AA | MYANMAR SIGN ASAT | MYANMAR LETTER BA
္ဓဂ,5,U+1039 U+1013 U+1002,MYANMAR SIGN VIRAMA | MYANMAR LETTER DHA | MYANMAR LETTER GA
ိမဒ,5,U+102D U+1019 U+1012,MYANMAR VOWEL SIGN I | MYANMAR LETTER MA | MYANMAR LETTER DA
မဒေ,5,U+1019 U+1012 U+1031,MYANMAR LETTER MA | MYANMAR LETTER DA | MYANMAR VOWEL SIGN E
ှ်ယ,5,U+103E U+103A U+101A,MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR SIGN ASAT | MYANMAR LETTER YA
်ဂဥ,5,U+103A U+1002 U+1025,MYANMAR SIGN ASAT | MYANMAR LETTER GA | MYANMAR LETTER U
ဲကီ,5,U+1032 U+1000 U+102E,MYANMAR VOWEL SIGN AI | MYANMAR LETTER KA | MYANMAR VOWEL SIGN II
တၟေ,5,U+1010 U+105F U+1031,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR VOWEL SIGN E
ေါဝ,5,U+1031 U+102B U+101D,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER WA
ါဝ်,5,U+102B U+101D U+103A,MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER WA | MYANMAR SIGN ASAT
်္ဂ,5,U+103A U+1039 U+1002,MYANMAR SIGN ASAT | MYANMAR SIGN VIRAMA | MYANMAR LETTER GA
ဂၠု,5,U+1002 U+1060 U+102F,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN U
ဲဆာ,5,U+1032 U+1006 U+102C,MYANMAR VOWEL SIGN AI | MYANMAR LETTER CHA | MYANMAR VOWEL SIGN AA
ဏံမ,5,U+100F U+1036 U+1019,MYANMAR LETTER NNA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER MA
ုဲ။,5,U+102F U+1032 U+104B,MYANMAR VOWEL SIGN U | MYANMAR VOWEL SIGN AI | MYANMAR SIGN SECTION
ဗွိ,5,U+1017 U+103D U+102D,MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN I
ဟ်ည,5,U+101F U+103A U+100A,MYANMAR LETTER HA | MYANMAR SIGN ASAT | MYANMAR LETTER NNYA
ိဗှ,5,U+102D U+1017 U+103E,MYANMAR VOWEL SIGN I | MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MEDIAL HA
တ်ှ,5,U+1010 U+103A U+103E,MYANMAR LETTER TA | MYANMAR SIGN ASAT | MYANMAR CONSONANT SIGN MEDIAL HA
တီက,5,U+1010 U+102E U+1000,MYANMAR LETTER TA | MYANMAR VOWEL SIGN II | MYANMAR LETTER KA
နာပ,5,U+1014 U+102C U+1015,MYANMAR LETTER NA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER PA
ၚ်၅,5,U+105A U+103A U+1045,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT | MYANMAR DIGIT FIVE
၅သၞ,5,U+1045 U+101E U+105E,MYANMAR DIGIT FIVE | MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ဩန်,5,U+1029 U+1014 U+103A,MYANMAR LETTER O | MYANMAR LETTER NA | MYANMAR SIGN ASAT
်လွ,5,U+103A U+101C U+103D,MYANMAR SIGN ASAT | MYANMAR LETTER LA | MYANMAR CONSONANT SIGN MEDIAL WA
ီု။,5,U+102E U+102F U+104B,MYANMAR VOWEL SIGN II | MYANMAR VOWEL SIGN U | MYANMAR SIGN SECTION
ဖျေ,5,U+1016 U+103B U+1031,MYANMAR LETTER PHA | MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN E
ျေံ,5,U+103B U+1031 U+1036,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN E | MYANMAR SIGN ANUSVARA
ဲချ,5,U+1032 U+1001 U+103B,MYANMAR VOWEL SIGN AI | MYANMAR LETTER KHA | MYANMAR CONSONANT SIGN MEDIAL YA
ူဂိ,5,U+1030 U+1002 U+102D,MYANMAR VOWEL SIGN UU | MYANMAR LETTER GA | MYANMAR VOWEL SIGN I
ဂးဘ,5,U+1002 U+1038 U+1018,MYANMAR LETTER GA | MYANMAR SIGN VISARGA | MYANMAR LETTER BHA
သုန,5,U+101E U+102F U+1014,MYANMAR LETTER SA | MYANMAR VOWEL SIGN U | MYANMAR LETTER NA
ၠာဂ,5,U+1060 U+102C U+1002,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER GA
။ရန,5,U+104B U+101B U+1014,MYANMAR SIGN SECTION | MYANMAR LETTER RA | MYANMAR LETTER NA
ရဲဗ,5,U+101B U+1032 U+1017,MYANMAR LETTER RA | MYANMAR VOWEL SIGN AI | MYANMAR LETTER BA
္မာ,5,U+1039 U+1019 U+102C,MYANMAR SIGN VIRAMA | MYANMAR LETTER MA | MYANMAR VOWEL SIGN AA
းဂၠ,5,U+1038 U+1002 U+1060,MYANMAR SIGN VISARGA | MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MON MEDIAL LA
လကႅ,5,U+101C U+1000 U+1085,MYANMAR LETTER LA | MYANMAR LETTER KA | MYANMAR VOWEL SIGN SHAN E ABOVE
ကႅာ,5,U+1000 U+1085 U+102C,MYANMAR LETTER KA | MYANMAR VOWEL SIGN SHAN E ABOVE | MYANMAR VOWEL SIGN AA
နန်,5,U+1014 U+1014 U+103A,MYANMAR LETTER NA | MYANMAR LETTER NA | MYANMAR SIGN ASAT
ှ်ခ,5,U+103E U+103A U+1001,MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR SIGN ASAT | MYANMAR LETTER KHA
ံထပ,5,U+1036 U+1011 U+1015,MYANMAR SIGN ANUSVARA | MYANMAR LETTER THA | MYANMAR LETTER PA
မုစ,5,U+1019 U+102F U+1005,MYANMAR LETTER MA | MYANMAR VOWEL SIGN U | MYANMAR LETTER CA
မလိ,5,U+1019 U+101C U+102D,MYANMAR LETTER MA | MYANMAR LETTER LA | MYANMAR VOWEL SIGN I
ံဝွ,5,U+1036 U+101D U+103D,MYANMAR SIGN ANUSVARA | MYANMAR LETTER WA | MYANMAR CONSONANT SIGN MEDIAL WA
ဲထိ,5,U+1032 U+1011 U+102D,MYANMAR VOWEL SIGN AI | MYANMAR LETTER THA | MYANMAR VOWEL SIGN I
ေံလ,5,U+1031 U+1036 U+101C,MYANMAR VOWEL SIGN E | MYANMAR SIGN ANUSVARA | MYANMAR LETTER LA
မိန,5,U+1019 U+102D U+1014,MYANMAR LETTER MA | MYANMAR VOWEL SIGN I | MYANMAR LETTER NA
နေတ,5,U+1014 U+1031 U+1010,MYANMAR LETTER NA | MYANMAR VOWEL SIGN E | MYANMAR LETTER TA
ကိတ,5,U+1000 U+102D U+1010,MYANMAR LETTER KA | MYANMAR VOWEL SIGN I | MYANMAR LETTER TA
ဵုဖ,5,U+1035 U+102F U+1016,MYANMAR VOWEL SIGN E ABOVE | MYANMAR VOWEL SIGN U | MYANMAR LETTER PHA
္ကံ,5,U+1039 U+1000 U+1036,MYANMAR SIGN VIRAMA | MYANMAR LETTER KA | MYANMAR SIGN ANUSVARA
ကံတ,5,U+1000 U+1036 U+1010,MYANMAR LETTER KA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER TA
ံတဲ,5,U+1036 U+1010 U+1032,MYANMAR SIGN ANUSVARA | MYANMAR LETTER TA | MYANMAR VOWEL SIGN AI
ဿနာ,5,U+103F U+1014 U+102C,MYANMAR LETTER GREAT SA | MYANMAR LETTER NA | MYANMAR VOWEL SIGN AA
ညိပ,5,U+100A U+102D U+1015,MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN I | MYANMAR LETTER PA
ိပၠ,5,U+102D U+1015 U+1060,MYANMAR VOWEL SIGN I | MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ူညး,5,U+1030 U+100A U+1038,MYANMAR VOWEL SIGN UU | MYANMAR LETTER NNYA | MYANMAR SIGN VISARGA
းမခ,5,U+1038 U+1019 U+1001,MYANMAR SIGN VISARGA | MYANMAR LETTER MA | MYANMAR LETTER KHA
နူသ,5,U+1014 U+1030 U+101E,MYANMAR LETTER NA | MYANMAR VOWEL SIGN UU | MYANMAR LETTER SA
်္က,5,U+103A U+1039 U+1000,MYANMAR SIGN ASAT | MYANMAR SIGN VIRAMA | MYANMAR LETTER KA
ုၚု,5,U+102F U+105A U+102F,MYANMAR VOWEL SIGN U | MYANMAR LETTER MON NGA | MYANMAR VOWEL SIGN U
ဂၞန,5,U+1002 U+105E U+1014,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR LETTER NA
ရာဂ,5,U+101B U+102C U+1002,MYANMAR LETTER RA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER GA
ပတ္,5,U+1015 U+1010 U+1039,MYANMAR LETTER PA | MYANMAR LETTER TA | MYANMAR SIGN VIRAMA
်အဃ,5,U+103A U+1021 U+1003,MYANMAR SIGN ASAT | MYANMAR LETTER A | MYANMAR LETTER GHA
်လျ,5,U+103A U+101C U+103B,MYANMAR SIGN ASAT | MYANMAR LETTER LA | MYANMAR CONSONANT SIGN MEDIAL YA
ဗစိ,5,U+1017 U+1005 U+102D,MYANMAR LETTER BA | MYANMAR LETTER CA | MYANMAR VOWEL SIGN I
မုဒ,5,U+1019 U+102F U+1012,MYANMAR LETTER MA | MYANMAR VOWEL SIGN U | MYANMAR LETTER DA
နာဗ,5,U+1014 U+102C U+1017,MYANMAR LETTER NA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER BA
ာပရ,5,U+102C U+1015 U+101B,MYANMAR VOWEL SIGN AA | MYANMAR LETTER PA | MYANMAR LETTER RA
ဝါက,5,U+101D U+102B U+1000,MYANMAR LETTER WA | MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER KA
