bigram,count,codepoints,unicode_names
ကွ,51292,U+1000 U+103D,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL WA
ာဲ,50991,U+102C U+1032,MYANMAR VOWEL SIGN AA | MYANMAR VOWEL SIGN AI
ရ၊,50729,U+101B U+104A,MYANMAR LETTER RA | MYANMAR SIGN LITTLE SECTION
ိၚ,50432,U+102D U+105A,MYANMAR VOWEL SIGN I | MYANMAR LETTER MON NGA
္ၚ,50326,U+1039 U+105A,MYANMAR SIGN VIRAMA | MYANMAR LETTER MON NGA
ုဟ,49799,U+102F U+101F,MYANMAR VOWEL SIGN U | MYANMAR LETTER HA
ကု,48820,U+1000 U+102F,MYANMAR LETTER KA | MYANMAR VOWEL SIGN U
ပိ,48778,U+1015 U+102D,MYANMAR LETTER PA | MYANMAR VOWEL SIGN I
ေတ,48210,U+1031 U+1010,MYANMAR VOWEL SIGN E | MYANMAR LETTER TA
မၠ,48209,U+1019 U+1060,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MON MEDIAL LA
မွ,48092,U+1019 U+103D,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MEDIAL WA
ဲက,47671,U+1032 U+1000,MYANMAR VOWEL SIGN AI | MYANMAR LETTER KA
ဂွ,47596,U+1002 U+103D,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL WA
ဟွ,47526,U+101F U+103D,MYANMAR LETTER HA | MYANMAR CONSONANT SIGN MEDIAL WA
်ခ,47139,U+103A U+1001,MYANMAR SIGN ASAT | MYANMAR LETTER KHA
္တ,46683,U+1039 U+1010,MYANMAR SIGN VIRAMA | MYANMAR LETTER TA
ဝွ,46617,U+101D U+103D,MYANMAR LETTER WA | MYANMAR CONSONANT SIGN MEDIAL WA
ွာ,45895,U+103D U+102C,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN AA
သာ,45753,U+101E U+102C,MYANMAR LETTER SA | MYANMAR VOWEL SIGN AA
ေဝ,45577,U+1031 U+101D,MYANMAR VOWEL SIGN E | MYANMAR LETTER WA
်ဇ,45322,U+103A U+1007,MYANMAR SIGN ASAT | MYANMAR LETTER JA
