bigram,count,codepoints,unicode_names
ုန,81423,U+102F U+1014,MYANMAR VOWEL SIGN U | MYANMAR LETTER NA
ကွ,78217,U+1000 U+103D,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL WA
ေဝ,77723,U+1031 U+101D,MYANMAR VOWEL SIGN E | MYANMAR LETTER WA
ုဟ,77309,U+102F U+101F,MYANMAR VOWEL SIGN U | MYANMAR LETTER HA
ဂက,76394,U+1002 U+1000,MYANMAR LETTER GA | MYANMAR LETTER KA
်ဟ,75424,U+103A U+101F,MYANMAR SIGN ASAT | MYANMAR LETTER HA
မွ,75273,U+1019 U+103D,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MEDIAL WA
ဲက,74521,U+1032 U+1000,MYANMAR VOWEL SIGN AI | MYANMAR LETTER KA
ဟွ,74075,U+101F U+103D,MYANMAR LETTER HA | MYANMAR CONSONANT SIGN MEDIAL WA
ၠိ,71387,U+1060 U+102D,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN I
ဂး,70617,U+1002 U+1038,MYANMAR LETTER GA | MYANMAR SIGN VISARGA
မန,70151,U+1019 U+1014,MYANMAR LETTER MA | MYANMAR LETTER NA
တံ,69725,U+1010 U+1036,MYANMAR LETTER TA | MYANMAR SIGN ANUSVARA
္ၚ,69469,U+1039 U+105A,MYANMAR SIGN VIRAMA | MYANMAR LETTER MON NGA
ျာ,69412,U+103B U+102C,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN AA
ကျ,69061,U+1000 U+103B,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL YA
ပိ,68382,U+1015 U+102D,MYANMAR LETTER PA | MYANMAR VOWEL SIGN I
ွာ,68052,U+103D U+102C,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN AA
္တ,67395,U+1039 U+1010,MYANMAR SIGN VIRAMA | MYANMAR LETTER TA
ေံ,66317,U+1031 U+1036,MYANMAR VOWEL SIGN E | MYANMAR SIGN ANUSVARA
်၊,65450,U+103A U+104A,MYANMAR SIGN ASAT | MYANMAR SIGN LITTLE SECTION
်ဇ,65031,U+103A U+1007,MYANMAR SIGN ASAT | MYANMAR LETTER JA
ေတ,64552,U+1031 U+1010,MYANMAR VOWEL SIGN E | MYANMAR LETTER TA
သာ,62991,U+101E U+102C,MYANMAR LETTER SA | MYANMAR VOWEL SIGN AA
လဝ,62698,U+101C U+101D,MYANMAR LETTER LA | MYANMAR LETTER WA
ၞာ,62494,U+105E U+102C,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN AA
ပရ,61994,U+1015 U+101B,MYANMAR LETTER PA | MYANMAR LETTER RA
ံဂ,61593,U+1036 U+1002,MYANMAR SIGN ANUSVARA | MYANMAR LETTER GA
ၞေ,61477,U+105E U+1031,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN E
်ခ,59996,U+103A U+1001,MYANMAR SIGN ASAT | MYANMAR LETTER KHA
ကု,59189,U+1000 U+102F,MYANMAR LETTER KA | MYANMAR VOWEL SIGN U
သၟ,59077,U+101E U+105F,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MON MEDIAL MA
မၠ,58630,U+1019 U+1060,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MON MEDIAL LA
်ဝ,58541,U+103A U+101D,MYANMAR SIGN ASAT | MYANMAR LETTER WA
ရ၊,57864,U+101B U+104A,MYANMAR LETTER RA | MYANMAR SIGN LITTLE SECTION
ၟိ,57819,U+105F U+102D,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR VOWEL SIGN I
်ည,57643,U+103A U+100A,MYANMAR SIGN ASAT | MYANMAR LETTER NNYA
နူ,57168,U+1014 U+1030,MYANMAR LETTER NA | MYANMAR VOWEL SIGN UU
