file,characters_counted,all_text_length,status
monnews/monnews_20260120_223250_1524.txt,2125,2282,ok
monnews/monnews_20260120_223250_1002.txt,8078,8871,ok
monnews/monnews_20260120_223250_1026.txt,8537,9517,ok
monnews/monnews_20260120_223250_2121.txt,2515,2692,ok
monnews/monnews_20260120_223250_3205.txt,1623,1741,ok
monnews/monnews_20260120_223250_929.txt,1235,1407,ok
monnews/monnews_20260120_223250_1542.txt,1621,1891,ok
monnews/monnews_20260120_223250_403.txt,1713,1944,ok
monnews/monnews_20260120_223250_362.txt,2104,2252,ok
monnews/monnews_20260120_223250_2037.txt,2141,2341,ok
monnews/monnews_20260120_223250_897.txt,1290,1444,ok
monnews/monnews_20260120_223250_3350.txt,1459,1603,ok
monnews/monnews_20260120_223250_1356.txt,3006,3308,ok
monnews/monnews_20260120_223250_1112.txt,1104,1247,ok
monnews/monnews_20260120_223250_2105.txt,2674,2890,ok
monnews/monnews_20260120_223250_3313.txt,1454,1582,ok
monnews/monnews_20260120_223250_2462.txt,2251,2489,ok
monnews/monnews_20260120_223250_538.txt,1591,1721,ok
monnews/monnews_20260120_223250_2306.txt,1396,1571,ok
monnews/monnews_20260120_223250_3246.txt,1641,1859,ok
monnews/monnews_20260120_223250_61.txt,1913,2194,ok
monnews/monnews_20260120_223250_2907.txt,2517,2743,ok
monnews/monnews_20260120_223250_1591.txt,2079,2261,ok
monnews/monnews_20260120_223250_1142.txt,1753,1947,ok
monnews/monnews_20260120_223250_2770.txt,1880,2270,ok
monnews/monnews_20260120_223250_2099.txt,2096,2298,ok
monnews/monnews_20260120_223250_975.txt,8087,8769,ok
monnews/monnews_20260120_223250_1887.txt,2386,2694,ok
monnews/monnews_20260120_223250_418.txt,2292,2548,ok
monnews/monnews_20260120_223250_1598.txt,1799,1954,ok
monnews/monnews_20260120_223250_858.txt,1819,1951,ok
monnews/monnews_20260120_223250_3011.txt,1157,1285,ok
monnews/monnews_20260120_223250_2347.txt,2939,3164,ok
monnews/monnews_20260120_223250_1666.txt,2455,2673,ok
monnews/monnews_20260120_223250_1798.txt,2357,2542,ok
monnews/monnews_20260120_223250_2483.txt,2915,3203,ok
monnews/monnews_20260120_223250_1723.txt,3132,3450,ok
monnews/monnews_20260120_223250_2628.txt,76,80,ok
monnews/monnews_20260120_223250_2860.txt,8992,9886,ok
monnews/monnews_20260120_223250_596.txt,1250,1445,ok
monnews/monnews_20260120_223250_3404.txt,1346,1479,ok
monnews/monnews_20260120_223250_3063.txt,1360,1498,ok
monnews/monnews_20260120_223250_1423.txt,100,102,ok
monnews/monnews_20260120_223250_1380.txt,1795,2018,ok
monnews/monnews_20260120_223250_2785.txt,8245,8965,ok
monnews/monnews_20260120_223250_1205.txt,1177,1287,ok
monnews/monnews_20260120_223250_1838.txt,2813,3059,ok
monnews/monnews_20260120_223250_613.txt,1846,2036,ok
monnews/monnews_20260120_223250_1482.txt,1937,2165,ok
monnews/monnews_20260120_223250_571.txt,1715,1915,ok
monnews/monnews_20260120_223250_3303.txt,2426,2656,ok
monnews/monnews_20260120_223250_3302.txt,1729,1918,ok
monnews/monnews_20260120_223250_19.txt,1810,1974,ok
monnews/monnews_20260120_223250_3482.txt,2585,2795,ok
monnews/monnews_20260120_223250_2918.txt,2162,2499,ok
monnews/monnews_20260120_223250_2478.txt,2752,3155,ok
monnews/monnews_20260120_223250_351.txt,7104,7701,ok
monnews/monnews_20260120_223250_1276.txt,1978,2163,ok
monnews/monnews_20260120_223250_17.txt,2258,2434,ok
monnews/monnews_20260120_223250_3514.txt,2101,2258,ok
monnews/monnews_20260120_223250_1233.txt,1239,1356,ok
monnews/monnews_20260120_223250_3049.txt,1458,1640,ok
monnews/monnews_20260120_223250_1265.txt,2007,2308,ok
monnews/monnews_20260120_223250_1197.txt,4613,5091,ok
monnews/monnews_20260120_223250_1639.txt,1748,1899,ok
monnews/monnews_20260120_223250_3074.txt,1490,1626,ok
monnews/monnews_20260120_223250_3031.txt,1978,2166,ok
monnews/monnews_20260120_223250_3549.txt,1674,1840,ok
monnews/monnews_20260120_223250_1491.txt,1593,1809,ok
monnews/monnews_20260120_223250_1721.txt,2514,2726,ok
