bigram,count,codepoints,unicode_names
ာတ,120583,U+102C U+1010,MYANMAR VOWEL SIGN AA | MYANMAR LETTER TA
်(,119545,U+103A U+0028,MYANMAR SIGN ASAT | LEFT PARENTHESIS
်၊,118002,U+103A U+104A,MYANMAR SIGN ASAT | MYANMAR SIGN LITTLE SECTION
လေ,113360,U+101C U+1031,MYANMAR LETTER LA | MYANMAR VOWEL SIGN E
ာဲ,110393,U+102C U+1032,MYANMAR VOWEL SIGN AA | MYANMAR VOWEL SIGN AI
%E,109939,U+0025 U+0045,PERCENT SIGN | LATIN CAPITAL LETTER E
E1,109815,U+0045 U+0031,LATIN CAPITAL LETTER E | DIGIT ONE
ိက,109322,U+102D U+1000,MYANMAR VOWEL SIGN I | MYANMAR LETTER KA
ေၚ,109062,U+1031 U+105A,MYANMAR VOWEL SIGN E | MYANMAR LETTER MON NGA
အာ,106634,U+1021 U+102C,MYANMAR LETTER A | MYANMAR VOWEL SIGN AA
သ္,106413,U+101E U+1039,MYANMAR LETTER SA | MYANMAR SIGN VIRAMA
မ္,105777,U+1019 U+1039,MYANMAR LETTER MA | MYANMAR SIGN VIRAMA
ဂွ,103970,U+1002 U+103D,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL WA
္ဂ,101413,U+1039 U+1002,MYANMAR SIGN VIRAMA | MYANMAR LETTER GA
ုန,101328,U+102F U+1014,MYANMAR VOWEL SIGN U | MYANMAR LETTER NA
ုဟ,100291,U+102F U+101F,MYANMAR VOWEL SIGN U | MYANMAR LETTER HA
ညး,92790,U+100A U+1038,MYANMAR LETTER NNYA | MYANMAR SIGN VISARGA
္တ,92415,U+1039 U+1010,MYANMAR SIGN VIRAMA | MYANMAR LETTER TA
မွ,92169,U+1019 U+103D,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MEDIAL WA
ေဝ,91724,U+1031 U+101D,MYANMAR VOWEL SIGN E | MYANMAR LETTER WA
ဟွ,91236,U+101F U+103D,MYANMAR LETTER HA | MYANMAR CONSONANT SIGN MEDIAL WA
ဲက,91012,U+1032 U+1000,MYANMAR VOWEL SIGN AI | MYANMAR LETTER KA
္ၚ,89811,U+1039 U+105A,MYANMAR SIGN VIRAMA | MYANMAR LETTER MON NGA
ၠိ,89071,U+1060 U+102D,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN I
ေံ,88957,U+1031 U+1036,MYANMAR VOWEL SIGN E | MYANMAR SIGN ANUSVARA
ကွ,88205,U+1000 U+103D,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL WA
ေတ,86220,U+1031 U+1010,MYANMAR VOWEL SIGN E | MYANMAR LETTER TA
ဂက,86132,U+1002 U+1000,MYANMAR LETTER GA | MYANMAR LETTER KA
ပရ,85323,U+1015 U+101B,MYANMAR LETTER PA | MYANMAR LETTER RA
်ဟ,84875,U+103A U+101F,MYANMAR SIGN ASAT | MYANMAR LETTER HA
မန,84747,U+1019 U+1014,MYANMAR LETTER MA | MYANMAR LETTER NA
ဂး,82192,U+1002 U+1038,MYANMAR LETTER GA | MYANMAR SIGN VISARGA
ၞေ,81902,U+105E U+1031,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN E
ျာ,81125,U+103B U+102C,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN AA
ၞာ,80781,U+105E U+102C,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN AA
လဝ,80209,U+101C U+101D,MYANMAR LETTER LA | MYANMAR LETTER WA
e1,78857,U+0065 U+0031,LATIN SMALL LETTER E | DIGIT ONE
်။,78700,U+103A U+104B,MYANMAR SIGN ASAT | MYANMAR SIGN SECTION
်ဇ,78503,U+103A U+1007,MYANMAR SIGN ASAT | MYANMAR LETTER JA
သာ,78372,U+101E U+102C,MYANMAR LETTER SA | MYANMAR VOWEL SIGN AA
%e,78364,U+0025 U+0065,PERCENT SIGN | LATIN SMALL LETTER E
ကျ,77466,U+1000 U+103B,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL YA
ပိ,77147,U+1015 U+102D,MYANMAR LETTER PA | MYANMAR VOWEL SIGN I
တံ,76221,U+1010 U+1036,MYANMAR LETTER TA | MYANMAR SIGN ANUSVARA
ွာ,74442,U+103D U+102C,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN AA
in,73725,U+0069 U+006E,LATIN SMALL LETTER I | LATIN SMALL LETTER N
ၠေ,72610,U+1060 U+1031,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN E
လိ,72390,U+101C U+102D,MYANMAR LETTER LA | MYANMAR VOWEL SIGN I
er,72179,U+0065 U+0072,LATIN SMALL LETTER E | LATIN SMALL LETTER R
မၠ,71210,U+1019 U+1060,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ရာ,71155,U+101B U+102C,MYANMAR LETTER RA | MYANMAR VOWEL SIGN AA
on,71025,U+006F U+006E,LATIN SMALL LETTER O | LATIN SMALL LETTER N
သၟ,70141,U+101E U+105F,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MON MEDIAL MA
ကု,69710,U+1000 U+102F,MYANMAR LETTER KA | MYANMAR VOWEL SIGN U
်ဝ,69355,U+103A U+101D,MYANMAR SIGN ASAT | MYANMAR LETTER WA
နူ,69122,U+1014 U+1030,MYANMAR LETTER NA | MYANMAR VOWEL SIGN UU
ိတ,68854,U+102D U+1010,MYANMAR VOWEL SIGN I | MYANMAR LETTER TA
မၞ,68569,U+1019 U+105E,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ံဂ,67895,U+1036 U+1002,MYANMAR SIGN ANUSVARA | MYANMAR LETTER GA
ၟိ,67787,U+105F U+102D,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR VOWEL SIGN I
ေင,67309,U+1031 U+1004,MYANMAR VOWEL SIGN E | MYANMAR LETTER NGA
ာၚ,67164,U+102C U+105A,MYANMAR VOWEL SIGN AA | MYANMAR LETTER MON NGA
မာ,66876,U+1019 U+102C,MYANMAR LETTER MA | MYANMAR VOWEL SIGN AA
စိ,66679,U+1005 U+102D,MYANMAR LETTER CA | MYANMAR VOWEL SIGN I
်ခ,66632,U+103A U+1001,MYANMAR SIGN ASAT | MYANMAR LETTER KHA
ဲမ,66322,U+1032 U+1019,MYANMAR VOWEL SIGN AI | MYANMAR LETTER MA
က္,66274,U+1000 U+1039,MYANMAR LETTER KA | MYANMAR SIGN VIRAMA
