bigram,count,codepoints,unicode_names
၀ည,33,U+1040 U+100A,MYANMAR DIGIT ZERO | MYANMAR LETTER NNYA
EL,33,U+0045 U+004C,LATIN CAPITAL LETTER E | LATIN CAPITAL LETTER L
ူP,33,U+1030 U+0050,MYANMAR VOWEL SIGN UU | LATIN CAPITAL LETTER P
Bတ,33,U+0042 U+1010,LATIN CAPITAL LETTER B | MYANMAR LETTER TA
ဆထ,33,U+1006 U+1011,MYANMAR LETTER CHA | MYANMAR LETTER THA
က=,33,U+1000 U+003D,MYANMAR LETTER KA | EQUALS SIGN
ဌ-,33,U+100C U+002D,MYANMAR LETTER TTHA | HYPHEN-MINUS
UB,33,U+0055 U+0042,LATIN CAPITAL LETTER U | LATIN CAPITAL LETTER B
ူF,33,U+1030 U+0046,MYANMAR VOWEL SIGN UU | LATIN CAPITAL LETTER F
ာR,33,U+102C U+0052,MYANMAR VOWEL SIGN AA | LATIN CAPITAL LETTER R
HR,33,U+0048 U+0052,LATIN CAPITAL LETTER H | LATIN CAPITAL LETTER R
ဘံ,33,U+1018 U+1036,MYANMAR LETTER BHA | MYANMAR SIGN ANUSVARA
၅ခ,33,U+1045 U+1001,MYANMAR DIGIT FIVE | MYANMAR LETTER KHA
။င,33,U+104B U+1004,MYANMAR SIGN SECTION | MYANMAR LETTER NGA
၊W,33,U+104A U+0057,MYANMAR SIGN LITTLE SECTION | LATIN CAPITAL LETTER W
uS,33,U+0075 U+0053,LATIN SMALL LETTER U | LATIN CAPITAL LETTER S
TM,33,U+0054 U+004D,LATIN CAPITAL LETTER T | LATIN CAPITAL LETTER M
ထ-,33,U+1011 U+002D,MYANMAR LETTER THA | HYPHEN-MINUS
လ၅,33,U+101C U+1045,MYANMAR LETTER LA | MYANMAR DIGIT FIVE
ှဉ,33,U+103E U+1009,MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR LETTER NYA
/i,33,U+002F U+0069,SOLIDUS | LATIN SMALL LETTER I
*မ,33,U+002A U+1019,ASTERISK | MYANMAR LETTER MA
မ၇,33,U+1019 U+1047,MYANMAR LETTER MA | MYANMAR DIGIT SEVEN
E_,33,U+0045 U+005F,LATIN CAPITAL LETTER E | LOW LINE
$မ,33,U+0024 U+1019,DOLLAR SIGN | MYANMAR LETTER MA
:8,33,U+003A U+0038,COLON | DIGIT EIGHT
ลื,33,U+0E25 U+0E37,THAI CHARACTER LO LING | THAI CHARACTER SARA UEE
ทร,33,U+0E17 U+0E23,THAI CHARACTER THO THAHAN | THAI CHARACTER RO RUA
คว,33,U+0E04 U+0E27,THAI CHARACTER KHO KHWAI | THAI CHARACTER WO WAEN
่ใ,33,U+0E48 U+0E43,THAI CHARACTER MAI EK | THAI CHARACTER SARA AI MAIMUAN
เห,33,U+0E40 U+0E2B,THAI CHARACTER SARA E | THAI CHARACTER HO HIP
ึ่,33,U+0E36 U+0E48,THAI CHARACTER SARA UE | THAI CHARACTER MAI EK
าห,33,U+0E32 U+0E2B,THAI CHARACTER SARA AA | THAI CHARACTER HO HIP
ยม,33,U+0E22 U+0E21,THAI CHARACTER YO YAK | THAI CHARACTER MO MA
u1,33,U+0075 U+0031,LATIN SMALL LETTER U | DIGIT ONE
ət,33,U+0259 U+0074,LATIN SMALL LETTER SCHWA | LATIN SMALL LETTER T
}ဝ,33,U+007D U+101D,RIGHT CURLY BRACKET | MYANMAR LETTER WA
၏သ,33,U+104F U+101E,MYANMAR SYMBOL GENITIVE | MYANMAR LETTER SA
ีน,33,U+0E35 U+0E19,THAI CHARACTER SARA II | THAI CHARACTER NO NU
ဋလ,33,U+100B U+101C,MYANMAR LETTER TTA | MYANMAR LETTER LA
#ဗ,32,U+0023 U+1017,NUMBER SIGN | MYANMAR LETTER BA
….,32,U+2026 U+002E,HORIZONTAL ELLIPSIS | FULL STOP
ံ4,32,U+1036 U+0034,MYANMAR SIGN ANUSVARA | DIGIT FOUR
wK,32,U+0077 U+004B,LATIN SMALL LETTER W | LATIN CAPITAL LETTER K
hက,32,U+0068 U+1000,LATIN SMALL LETTER H | MYANMAR LETTER KA
h!,32,U+0068 U+0021,LATIN SMALL LETTER H | EXCLAMATION MARK
w?,32,U+0077 U+003F,LATIN SMALL LETTER W | QUESTION MARK
s[,32,U+0073 U+005B,LATIN SMALL LETTER S | LEFT SQUARE BRACKET
ၛဟ,32,U+105B U+101F,MYANMAR LETTER MON JHA | MYANMAR LETTER HA
း],32,U+1038 U+005D,MYANMAR SIGN VISARGA | RIGHT SQUARE BRACKET
ဝဆ,32,U+101D U+1006,MYANMAR LETTER WA | MYANMAR LETTER CHA
)],32,U+0029 U+005D,RIGHT PARENTHESIS | RIGHT SQUARE BRACKET
4m,32,U+0034 U+006D,DIGIT FOUR | LATIN SMALL LETTER M
}ဗ,32,U+007D U+1017,RIGHT CURLY BRACKET | MYANMAR LETTER BA
2ပ,32,U+0032 U+1015,DIGIT TWO | MYANMAR LETTER PA
/8,32,U+002F U+0038,SOLIDUS | DIGIT EIGHT
wB,32,U+0077 U+0042,LATIN SMALL LETTER W | LATIN CAPITAL LETTER B
5c,32,U+0035 U+0063,DIGIT FIVE | LATIN SMALL LETTER C
e[,32,U+0065 U+005B,LATIN SMALL LETTER E | LEFT SQUARE BRACKET
[ဗ,32,U+005B U+1017,LEFT SQUARE BRACKET | MYANMAR LETTER BA
ၝလ,32,U+105D U+101C,MYANMAR LETTER MON BBE | MYANMAR LETTER LA
ရၝ,32,U+101B U+105D,MYANMAR LETTER RA | MYANMAR LETTER MON BBE
zn,32,U+007A U+006E,LATIN SMALL LETTER Z | LATIN SMALL LETTER N
pတ,32,U+0070 U+1010,LATIN SMALL LETTER P | MYANMAR LETTER TA
ူ၄,32,U+1030 U+1044,MYANMAR VOWEL SIGN UU | MYANMAR DIGIT FOUR
ာ္,32,U+102C U+1039,MYANMAR VOWEL SIGN AA | MYANMAR SIGN VIRAMA
ါဥ,32,U+102B U+1025,MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER U
ေႝ,32,U+1031 U+109D,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AITON AI
งส,32,U+0E07 U+0E2A,THAI CHARACTER NGO NGU | THAI CHARACTER SO SUA
ခဘ,32,U+1001 U+1018,MYANMAR LETTER KHA | MYANMAR LETTER BHA
ု?,32,U+102F U+003F,MYANMAR VOWEL SIGN U | QUESTION MARK
3ဂ,32,U+0033 U+1002,DIGIT THREE | MYANMAR LETTER GA
Lက,32,U+004C U+1000,LATIN CAPITAL LETTER L | MYANMAR LETTER KA
mဂ,32,U+006D U+1002,LATIN SMALL LETTER M | MYANMAR LETTER GA
႕အ,32,U+1095 U+1021,MYANMAR SHAN DIGIT FIVE | MYANMAR LETTER A
F/,32,U+0046 U+002F,LATIN CAPITAL LETTER F | SOLIDUS
ထဘ,32,U+1011 U+1018,MYANMAR LETTER THA | MYANMAR LETTER BHA
WL,32,U+0057 U+004C,LATIN CAPITAL LETTER W | LATIN CAPITAL LETTER L
&N,32,U+0026 U+004E,AMPERSAND | LATIN CAPITAL LETTER N
ဴ၃,32,U+1034 U+1043,MYANMAR VOWEL SIGN MON O | MYANMAR DIGIT THREE
ဳဳ,32,U+1033 U+1033,MYANMAR VOWEL SIGN MON II | MYANMAR VOWEL SIGN MON II
Hs,32,U+0048 U+0073,LATIN CAPITAL LETTER H | LATIN SMALL LETTER S
cW,32,U+0063 U+0057,LATIN SMALL LETTER C | LATIN CAPITAL LETTER W
Aဝ,32,U+0041 U+101D,LATIN CAPITAL LETTER A | MYANMAR LETTER WA
*ဒ,32,U+002A U+1012,ASTERISK | MYANMAR LETTER DA
၅ဘ,32,U+1045 U+1018,MYANMAR DIGIT FIVE | MYANMAR LETTER BHA
AV,32,U+0041 U+0056,LATIN CAPITAL LETTER A | LATIN CAPITAL LETTER V
ဝဥ,32,U+101D U+1025,MYANMAR LETTER WA | MYANMAR LETTER U
:h,32,U+003A U+0068,COLON | LATIN SMALL LETTER H
HT,32,U+0048 U+0054,LATIN CAPITAL LETTER H | LATIN CAPITAL LETTER T
gU,32,U+0067 U+0055,LATIN SMALL LETTER G | LATIN CAPITAL LETTER U
0S,32,U+0030 U+0053,DIGIT ZERO | LATIN CAPITAL LETTER S
WW,32,U+0057 U+0057,LATIN CAPITAL LETTER W | LATIN CAPITAL LETTER W
ลอ,32,U+0E25 U+0E2D,THAI CHARACTER LO LING | THAI CHARACTER O ANG
"""K",32,U+0022 U+004B,QUOTATION MARK | LATIN CAPITAL LETTER K
;P,32,U+003B U+0050,SEMICOLON | LATIN CAPITAL LETTER P
n6,32,U+006E U+0036,LATIN SMALL LETTER N | DIGIT SIX
d3,32,U+0064 U+0033,LATIN SMALL LETTER D | DIGIT THREE
:6,32,U+003A U+0036,COLON | DIGIT SIX
กว,32,U+0E01 U+0E27,THAI CHARACTER KO KAI | THAI CHARACTER WO WAEN
่เ,32,U+0E48 U+0E40,THAI CHARACTER MAI EK | THAI CHARACTER SARA E
ยว,32,U+0E22 U+0E27,THAI CHARACTER YO YAK | THAI CHARACTER WO WAEN
งไ,32,U+0E07 U+0E44,THAI CHARACTER NGO NGU | THAI CHARACTER SARA AI MAIMALAI
"""e",32,U+0022 U+0065,QUOTATION MARK | LATIN SMALL LETTER E
6m,32,U+0036 U+006D,DIGIT SIX | LATIN SMALL LETTER M
SG,32,U+0053 U+0047,LATIN CAPITAL LETTER S | LATIN CAPITAL LETTER G
ေ],32,U+1031 U+005D,MYANMAR VOWEL SIGN E | RIGHT SQUARE BRACKET
§2,32,U+00A7 U+0032,SECTION SIGN | DIGIT TWO
းL,31,U+1038 U+004C,MYANMAR SIGN VISARGA | LATIN CAPITAL LETTER L
pS,31,U+0070 U+0053,LATIN SMALL LETTER P | LATIN CAPITAL LETTER S
#န,31,U+0023 U+1014,NUMBER SIGN | MYANMAR LETTER NA
်9,31,U+103A U+0039,MYANMAR SIGN ASAT | DIGIT NINE
wP,31,U+0077 U+0050,LATIN SMALL LETTER W | LATIN CAPITAL LETTER P
M(,31,U+004D U+0028,LATIN CAPITAL LETTER M | LEFT PARENTHESIS
*စ,31,U+002A U+1005,ASTERISK | MYANMAR LETTER CA
ၞထ,31,U+105E U+1011,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR LETTER THA
n[,31,U+006E U+005B,LATIN SMALL LETTER N | LEFT SQUARE BRACKET
u?,31,U+0075 U+003F,LATIN SMALL LETTER U | QUESTION MARK
]ဃ,31,U+005D U+1003,RIGHT SQUARE BRACKET | MYANMAR LETTER GHA
]ၝ,31,U+005D U+105D,RIGHT SQUARE BRACKET | MYANMAR LETTER MON BBE
jr,31,U+006A U+0072,LATIN SMALL LETTER J | LATIN SMALL LETTER R
h’,31,U+0068 U+2019,LATIN SMALL LETTER H | RIGHT SINGLE QUOTATION MARK
nည,31,U+006E U+100A,LATIN SMALL LETTER N | MYANMAR LETTER NNYA
sဝ,31,U+0073 U+101D,LATIN SMALL LETTER S | MYANMAR LETTER WA
ဂခ,31,U+1002 U+1001,MYANMAR LETTER GA | MYANMAR LETTER KHA
ဏဴ,31,U+100F U+1034,MYANMAR LETTER NNA | MYANMAR VOWEL SIGN MON O
X-,31,U+0058 U+002D,LATIN CAPITAL LETTER X | HYPHEN-MINUS
1မ,31,U+0031 U+1019,DIGIT ONE | MYANMAR LETTER MA
"လ,",31,U+101C U+002C,MYANMAR LETTER LA | COMMA
LS,31,U+004C U+0053,LATIN CAPITAL LETTER L | LATIN CAPITAL LETTER S
n|,31,U+006E U+007C,LATIN SMALL LETTER N | VERTICAL LINE
။Y,31,U+104B U+0059,MYANMAR SIGN SECTION | LATIN CAPITAL LETTER Y
/(,31,U+002F U+0028,SOLIDUS | LEFT PARENTHESIS
ဖ၊,31,U+1016 U+104A,MYANMAR LETTER PHA | MYANMAR SIGN LITTLE SECTION
Oမ,31,U+004F U+1019,LATIN CAPITAL LETTER O | MYANMAR LETTER MA
Nဂ,31,U+004E U+1002,LATIN CAPITAL LETTER N | MYANMAR LETTER GA
GU,31,U+0047 U+0055,LATIN CAPITAL LETTER G | LATIN CAPITAL LETTER U
tသ,31,U+0074 U+101E,LATIN SMALL LETTER T | MYANMAR LETTER SA
ဝW,31,U+101D U+0057,MYANMAR LETTER WA | LATIN CAPITAL LETTER W
)၉,31,U+0029 U+1049,RIGHT PARENTHESIS | MYANMAR DIGIT NINE
ဲJ,31,U+1032 U+004A,MYANMAR VOWEL SIGN AI | LATIN CAPITAL LETTER J
OU,31,U+004F U+0055,LATIN CAPITAL LETTER O | LATIN CAPITAL LETTER U
Lတ,31,U+004C U+1010,LATIN CAPITAL LETTER L | MYANMAR LETTER TA
FM,31,U+0046 U+004D,LATIN CAPITAL LETTER F | LATIN CAPITAL LETTER M
Rဂ,31,U+0052 U+1002,LATIN CAPITAL LETTER R | MYANMAR LETTER GA
0ဂ,31,U+0030 U+1002,DIGIT ZERO | MYANMAR LETTER GA
hဂ,31,U+0068 U+1002,LATIN SMALL LETTER H | MYANMAR LETTER GA
၃ဖ,31,U+1043 U+1016,MYANMAR DIGIT THREE | MYANMAR LETTER PHA
)င,31,U+0029 U+1004,RIGHT PARENTHESIS | MYANMAR LETTER NGA
O2,31,U+004F U+0032,LATIN CAPITAL LETTER O | DIGIT TWO
ဖီ,31,U+1016 U+102E,MYANMAR LETTER PHA | MYANMAR VOWEL SIGN II
c:,31,U+0063 U+003A,LATIN SMALL LETTER C | COLON
RL,31,U+0052 U+004C,LATIN CAPITAL LETTER R | LATIN CAPITAL LETTER L
ရ၄,31,U+101B U+1044,MYANMAR LETTER RA | MYANMAR DIGIT FOUR
+သ,31,U+002B U+101E,PLUS SIGN | MYANMAR LETTER SA
วง,31,U+0E27 U+0E07,THAI CHARACTER WO WAEN | THAI CHARACTER NGO NGU
GN,31,U+0047 U+004E,LATIN CAPITAL LETTER G | LATIN CAPITAL LETTER N
"k""",31,U+006B U+0022,LATIN SMALL LETTER K | QUOTATION MARK
n7,31,U+006E U+0037,LATIN SMALL LETTER N | DIGIT SEVEN
เข,31,U+0E40 U+0E02,THAI CHARACTER SARA E | THAI CHARACTER KHO KHAI
8:,31,U+0038 U+003A,DIGIT EIGHT | COLON
-X,31,U+002D U+0058,HYPHEN-MINUS | LATIN CAPITAL LETTER X
7A,31,U+0037 U+0041,DIGIT SEVEN | LATIN CAPITAL LETTER A
สั,31,U+0E2A U+0E31,THAI CHARACTER SO SUA | THAI CHARACTER MAI HAN-AKAT
รส,31,U+0E23 U+0E2A,THAI CHARACTER RO RUA | THAI CHARACTER SO SUA
ร้,31,U+0E23 U+0E49,THAI CHARACTER RO RUA | THAI CHARACTER MAI THO
กน,31,U+0E01 U+0E19,THAI CHARACTER KO KAI | THAI CHARACTER NO NU
\p,31,U+005C U+0070,REVERSE SOLIDUS | LATIN SMALL LETTER P
0^,31,U+0030 U+005E,DIGIT ZERO | CIRCUMFLEX ACCENT
OH,31,U+004F U+0048,LATIN CAPITAL LETTER O | LATIN CAPITAL LETTER H
n8,31,U+006E U+0038,LATIN SMALL LETTER N | DIGIT EIGHT
wC,31,U+0077 U+0043,LATIN SMALL LETTER W | LATIN CAPITAL LETTER C
"/""",31,U+002F U+0022,SOLIDUS | QUOTATION MARK
ေ၏,31,U+1031 U+104F,MYANMAR VOWEL SIGN E | MYANMAR SYMBOL GENITIVE
ံ၏,31,U+1036 U+104F,MYANMAR SIGN ANUSVARA | MYANMAR SYMBOL GENITIVE
ဩမ,31,U+1029 U+1019,MYANMAR LETTER O | MYANMAR LETTER MA
w၊,31,U+0077 U+104A,LATIN SMALL LETTER W | MYANMAR SIGN LITTLE SECTION
3က,30,U+0033 U+1000,DIGIT THREE | MYANMAR LETTER KA
ဘ၀,30,U+1018 U+1040,MYANMAR LETTER BHA | MYANMAR DIGIT ZERO
Aဗ,30,U+0041 U+1017,LATIN CAPITAL LETTER A | MYANMAR LETTER BA
ဴ.,30,U+1034 U+002E,MYANMAR VOWEL SIGN MON O | FULL STOP
၀ဆ,30,U+1040 U+1006,MYANMAR DIGIT ZERO | MYANMAR LETTER CHA
Tဂ,30,U+0054 U+1002,LATIN CAPITAL LETTER T | MYANMAR LETTER GA
ာW,30,U+102C U+0057,MYANMAR VOWEL SIGN AA | LATIN CAPITAL LETTER W
Tတ,30,U+0054 U+1010,LATIN CAPITAL LETTER T | MYANMAR LETTER TA
"""ဨ",30,U+0022 U+1028,QUOTATION MARK | MYANMAR LETTER MON E
ဍ်,30,U+100D U+103A,MYANMAR LETTER DDA | MYANMAR SIGN ASAT
ထခ,30,U+1011 U+1001,MYANMAR LETTER THA | MYANMAR LETTER KHA
ကဣ,30,U+1000 U+1023,MYANMAR LETTER KA | MYANMAR LETTER I
fZ,30,U+0066 U+005A,LATIN SMALL LETTER F | LATIN CAPITAL LETTER Z
mG,30,U+006D U+0047,LATIN SMALL LETTER M | LATIN CAPITAL LETTER G
[a,30,U+005B U+0061,LEFT SQUARE BRACKET | LATIN SMALL LETTER A
o’,30,U+006F U+2019,LATIN SMALL LETTER O | RIGHT SINGLE QUOTATION MARK
{ပ,30,U+007B U+1015,LEFT CURLY BRACKET | MYANMAR LETTER PA
အ(,30,U+1021 U+0028,MYANMAR LETTER A | LEFT PARENTHESIS
dန,30,U+0064 U+1014,LATIN SMALL LETTER D | MYANMAR LETTER NA
VP,30,U+0056 U+0050,LATIN CAPITAL LETTER V | LATIN CAPITAL LETTER P
kE,30,U+006B U+0045,LATIN SMALL LETTER K | LATIN CAPITAL LETTER E
ဃတ,30,U+1003 U+1010,MYANMAR LETTER GHA | MYANMAR LETTER TA
:i,30,U+003A U+0069,COLON | LATIN SMALL LETTER I
'လ,30,U+0027 U+101C,APOSTROPHE | MYANMAR LETTER LA
l|,30,U+006C U+007C,LATIN SMALL LETTER L | VERTICAL LINE
+),30,U+002B U+0029,PLUS SIGN | RIGHT PARENTHESIS
/p,30,U+002F U+0070,SOLIDUS | LATIN SMALL LETTER P
၁:,30,U+1041 U+003A,MYANMAR DIGIT ONE | COLON
ူဃ,30,U+1030 U+1003,MYANMAR VOWEL SIGN UU | MYANMAR LETTER GHA
"ဗ""",30,U+1017 U+0022,MYANMAR LETTER BA | QUOTATION MARK
ဠစ,30,U+1020 U+1005,MYANMAR LETTER LLA | MYANMAR LETTER CA
ဘအ,30,U+1018 U+1021,MYANMAR LETTER BHA | MYANMAR LETTER A
RR,30,U+0052 U+0052,LATIN CAPITAL LETTER R | LATIN CAPITAL LETTER R
၊I,30,U+104A U+0049,MYANMAR SIGN LITTLE SECTION | LATIN CAPITAL LETTER I
၁း,30,U+1041 U+1038,MYANMAR DIGIT ONE | MYANMAR SIGN VISARGA
၊U,30,U+104A U+0055,MYANMAR SIGN LITTLE SECTION | LATIN CAPITAL LETTER U
L(,30,U+004C U+0028,LATIN CAPITAL LETTER L | LEFT PARENTHESIS
3D,30,U+0033 U+0044,DIGIT THREE | LATIN CAPITAL LETTER D
ာႏ,30,U+102C U+108F,MYANMAR VOWEL SIGN AA | MYANMAR SIGN RUMAI PALAUNG TONE-5
Dဇ,30,U+0044 U+1007,LATIN CAPITAL LETTER D | MYANMAR LETTER JA
CM,30,U+0043 U+004D,LATIN CAPITAL LETTER C | LATIN CAPITAL LETTER M
Fဂ,30,U+0046 U+1002,LATIN CAPITAL LETTER F | MYANMAR LETTER GA
U(,30,U+0055 U+0028,LATIN CAPITAL LETTER U | LEFT PARENTHESIS
းI,30,U+1038 U+0049,MYANMAR SIGN VISARGA | LATIN CAPITAL LETTER I
၉:,30,U+1049 U+003A,MYANMAR DIGIT NINE | COLON
၃း,30,U+1043 U+1038,MYANMAR DIGIT THREE | MYANMAR SIGN VISARGA
PG,30,U+0050 U+0047,LATIN CAPITAL LETTER P | LATIN CAPITAL LETTER G
Iရ,30,U+0049 U+101B,LATIN CAPITAL LETTER I | MYANMAR LETTER RA
RD,30,U+0052 U+0044,LATIN CAPITAL LETTER R | LATIN CAPITAL LETTER D
OW,30,U+004F U+0057,LATIN CAPITAL LETTER O | LATIN CAPITAL LETTER W
W),30,U+0057 U+0029,LATIN CAPITAL LETTER W | RIGHT PARENTHESIS
a_,30,U+0061 U+005F,LATIN SMALL LETTER A | LOW LINE
kR,30,U+006B U+0052,LATIN SMALL LETTER K | LATIN CAPITAL LETTER R
%မ,30,U+0025 U+1019,PERCENT SIGN | MYANMAR LETTER MA
ยช,30,U+0E22 U+0E0A,THAI CHARACTER YO YAK | THAI CHARACTER CHO CHANG
:n,30,U+003A U+006E,COLON | LATIN SMALL LETTER N
D2,30,U+0044 U+0032,LATIN CAPITAL LETTER D | DIGIT TWO
án,30,U+00E1 U+006E,LATIN SMALL LETTER A WITH ACUTE | LATIN SMALL LETTER N
&L,30,U+0026 U+004C,AMPERSAND | LATIN CAPITAL LETTER L
:9,30,U+003A U+0039,COLON | DIGIT NINE
øn,30,U+00F8 U+006E,LATIN SMALL LETTER O WITH STROKE | LATIN SMALL LETTER N
$ဂ,30,U+0024 U+1002,DOLLAR SIGN | MYANMAR LETTER GA
ลม,30,U+0E25 U+0E21,THAI CHARACTER LO LING | THAI CHARACTER MO MA
นใ,30,U+0E19 U+0E43,THAI CHARACTER NO NU | THAI CHARACTER SARA AI MAIMUAN
งแ,30,U+0E07 U+0E41,THAI CHARACTER NGO NGU | THAI CHARACTER SARA AE
ีส,30,U+0E35 U+0E2A,THAI CHARACTER SARA II | THAI CHARACTER SO SUA
งพ,30,U+0E07 U+0E1E,THAI CHARACTER NGO NGU | THAI CHARACTER PHO PHAN
\r,30,U+005C U+0072,REVERSE SOLIDUS | LATIN SMALL LETTER R
1S,30,U+0031 U+0053,DIGIT ONE | LATIN CAPITAL LETTER S
|i,30,U+007C U+0069,VERTICAL LINE | LATIN SMALL LETTER I
ré,30,U+0072 U+00E9,LATIN SMALL LETTER R | LATIN SMALL LETTER E WITH ACUTE
rx,30,U+0072 U+0078,LATIN SMALL LETTER R | LATIN SMALL LETTER X
åk,30,U+00E5 U+006B,LATIN SMALL LETTER A WITH RING ABOVE | LATIN SMALL LETTER K
ʃə,30,U+0283 U+0259,LATIN SMALL LETTER ESH | LATIN SMALL LETTER SCHWA
$=,30,U+0024 U+003D,DOLLAR SIGN | EQUALS SIGN
ะบ,30,U+0E30 U+0E1A,THAI CHARACTER SARA A | THAI CHARACTER BO BAIMAI
væ,30,U+0076 U+00E6,LATIN SMALL LETTER V | LATIN SMALL LETTER AE
L-,29,U+004C U+002D,LATIN CAPITAL LETTER L | HYPHEN-MINUS
ာ',29,U+102C U+0027,MYANMAR VOWEL SIGN AA | APOSTROPHE
&D,29,U+0026 U+0044,AMPERSAND | LATIN CAPITAL LETTER D
၅ဍ,29,U+1045 U+100D,MYANMAR DIGIT FIVE | MYANMAR LETTER DDA
Pw,29,U+0050 U+0077,LATIN CAPITAL LETTER P | LATIN SMALL LETTER W
Ik,29,U+0049 U+006B,LATIN CAPITAL LETTER I | LATIN SMALL LETTER K
ၚခ,29,U+105A U+1001,MYANMAR LETTER MON NGA | MYANMAR LETTER KHA
ခဵ,29,U+1001 U+1035,MYANMAR LETTER KHA | MYANMAR VOWEL SIGN E ABOVE
]S,29,U+005D U+0053,RIGHT SQUARE BRACKET | LATIN CAPITAL LETTER S
fq,29,U+0066 U+0071,LATIN SMALL LETTER F | LATIN SMALL LETTER Q
k?,29,U+006B U+003F,LATIN SMALL LETTER K | QUESTION MARK
pq,29,U+0070 U+0071,LATIN SMALL LETTER P | LATIN SMALL LETTER Q
fပ,29,U+0066 U+1015,LATIN SMALL LETTER F | MYANMAR LETTER PA
{-,29,U+007B U+002D,LEFT CURLY BRACKET | HYPHEN-MINUS
}],29,U+007D U+005D,RIGHT CURLY BRACKET | RIGHT SQUARE BRACKET
jh,29,U+006A U+0068,LATIN SMALL LETTER J | LATIN SMALL LETTER H
xv,29,U+0078 U+0076,LATIN SMALL LETTER X | LATIN SMALL LETTER V
Hp,29,U+0048 U+0070,LATIN CAPITAL LETTER H | LATIN SMALL LETTER P
dအ,29,U+0064 U+1021,LATIN SMALL LETTER D | MYANMAR LETTER A
"ီ,",29,U+102E U+002C,MYANMAR VOWEL SIGN II | COMMA
"ရ,",29,U+101B U+002C,MYANMAR LETTER RA | COMMA
၇:,29,U+1047 U+003A,MYANMAR DIGIT SEVEN | COLON
၆ၝ,29,U+1046 U+105D,MYANMAR DIGIT SIX | MYANMAR LETTER MON BBE
(.,29,U+0028 U+002E,LEFT PARENTHESIS | FULL STOP
9က,29,U+0039 U+1000,DIGIT NINE | MYANMAR LETTER KA
၏မ,29,U+104F U+1019,MYANMAR SYMBOL GENITIVE | MYANMAR LETTER MA
ဲ႔,29,U+1032 U+1094,MYANMAR VOWEL SIGN AI | MYANMAR SHAN DIGIT FOUR
ံO,29,U+1036 U+004F,MYANMAR SIGN ANUSVARA | LATIN CAPITAL LETTER O
၊F,29,U+104A U+0046,MYANMAR SIGN LITTLE SECTION | LATIN CAPITAL LETTER F
FB,29,U+0046 U+0042,LATIN CAPITAL LETTER F | LATIN CAPITAL LETTER B
ႏ္,29,U+108F U+1039,MYANMAR SIGN RUMAI PALAUNG TONE-5 | MYANMAR SIGN VIRAMA
ါ၆,29,U+102B U+1046,MYANMAR VOWEL SIGN TALL AA | MYANMAR DIGIT SIX
FT,29,U+0046 U+0054,LATIN CAPITAL LETTER F | LATIN CAPITAL LETTER T
Dဏ,29,U+0044 U+100F,LATIN CAPITAL LETTER D | MYANMAR LETTER NNA
eဝ,29,U+0065 U+101D,LATIN SMALL LETTER E | MYANMAR LETTER WA
်ဿ,29,U+103A U+103F,MYANMAR SIGN ASAT | MYANMAR LETTER GREAT SA
ုH,29,U+102F U+0048,MYANMAR VOWEL SIGN U | LATIN CAPITAL LETTER H
်_,29,U+103A U+005F,MYANMAR SIGN ASAT | LOW LINE
၇ဨ,29,U+1047 U+1028,MYANMAR DIGIT SEVEN | MYANMAR LETTER MON E
d4,29,U+0064 U+0034,LATIN SMALL LETTER D | DIGIT FOUR
&E,29,U+0026 U+0045,AMPERSAND | LATIN CAPITAL LETTER E
ဃဝ,29,U+1003 U+101D,MYANMAR LETTER GHA | MYANMAR LETTER WA
งป,29,U+0E07 U+0E1B,THAI CHARACTER NGO NGU | THAI CHARACTER PO PLA
พื,29,U+0E1E U+0E37,THAI CHARACTER PHO PHAN | THAI CHARACTER SARA UEE
ဇဘ,29,U+1007 U+1018,MYANMAR LETTER JA | MYANMAR LETTER BHA
ဃဘ,29,U+1003 U+1018,MYANMAR LETTER GHA | MYANMAR LETTER BHA
[1,29,U+005B U+0031,LEFT SQUARE BRACKET | DIGIT ONE
ေ{,29,U+1031 U+007B,MYANMAR VOWEL SIGN E | LEFT CURLY BRACKET
"""n",29,U+0022 U+006E,QUOTATION MARK | LATIN SMALL LETTER N
;h,29,U+003B U+0068,SEMICOLON | LATIN SMALL LETTER H
1=,29,U+0031 U+003D,DIGIT ONE | EQUALS SIGN
2=,29,U+0032 U+003D,DIGIT TWO | EQUALS SIGN
รง,29,U+0E23 U+0E07,THAI CHARACTER RO RUA | THAI CHARACTER NGO NGU
นร,29,U+0E19 U+0E23,THAI CHARACTER NO NU | THAI CHARACTER RO RUA
นย,29,U+0E19 U+0E22,THAI CHARACTER NO NU | THAI CHARACTER YO YAK
ดเ,29,U+0E14 U+0E40,THAI CHARACTER DO DEK | THAI CHARACTER SARA E
ื้,29,U+0E37 U+0E49,THAI CHARACTER SARA UEE | THAI CHARACTER MAI THO
ส้,29,U+0E2A U+0E49,THAI CHARACTER SO SUA | THAI CHARACTER MAI THO
นค,29,U+0E19 U+0E04,THAI CHARACTER NO NU | THAI CHARACTER KHO KHWAI
งอ,29,U+0E07 U+0E2D,THAI CHARACTER NGO NGU | THAI CHARACTER O ANG
