file,characters_counted,all_text_length,nga_to_mon_nga_replacements,status
monnews/monnews_20260120_223250_3542.txt,1957,2127,0,ok
monnews/monnews_20260120_223250_2945.txt,2583,2770,0,ok
monnews/monnews_20260120_223250_2217.txt,2058,2383,0,ok
monnews/monnews_20260120_223250_2482.txt,1814,2032,0,ok
monnews/monnews_20260120_223250_1443.txt,1941,2148,0,ok
monnews/monnews_20260120_223250_244.txt,4272,4590,146,ok
monnews/monnews_20260120_223250_2799.txt,3067,3360,0,ok
monnews/monnews_20260120_223250_1494.txt,1860,2016,0,ok
monnews/monnews_20260120_223250_1005.txt,1500,1663,0,ok
monnews/monnews_20260120_223250_2398.txt,2932,3197,0,ok
monnews/monnews_20260120_223250_1172.txt,2154,2430,0,ok
monnews/monnews_20260120_223250_1137.txt,1951,2117,0,ok
monnews/monnews_20260120_223250_3448.txt,2109,2309,0,ok
monnews/monnews_20260427_212336_104.txt,2417,2620,0,ok
monnews/monnews_20260120_223250_2226.txt,1750,2082,0,ok
monnews/monnews_20260120_223250_3118.txt,1951,2150,0,ok
monnews/monnews_20260120_223250_3446.txt,1735,1928,0,ok
monnews/monnews_20260120_223250_969.txt,1133,1257,0,ok
monnews/monnews_20260120_223250_1615.txt,1568,1721,0,ok
monnews/monnews_20260120_223250_2572.txt,1711,1880,0,ok
monnews/monnews_20260120_223250_1337.txt,738,807,0,ok
monnews/monnews_20260427_212336_154.txt,8155,9223,262,ok
monnews/monnews_20260120_223250_2691.txt,2476,2702,0,ok
monnews/monnews_20260427_212336_137.txt,1625,1869,6,ok
monnews/monnews_20260120_223250_465.txt,51,120,0,ok
monnews/monnews_20260120_223250_2294.txt,9764,10439,0,ok
monnews/monnews_20260120_223250_2273.txt,1174,1324,0,ok
monnews/monnews_20260427_212805_20.txt,40,52,0,ok
monnews/monnews_20260120_223250_3325.txt,1833,1987,0,ok
monnews/monnews_20260120_223250_409.txt,4204,4537,0,ok
monnews/monnews_20260120_223250_514.txt,1815,2025,0,ok
monnews/monnews_20260120_223250_1290.txt,6011,6408,0,ok
