trigram,count,codepoints,unicode_names
ဗါတ,1,U+1017 U+102B U+1010,MYANMAR LETTER BA | MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER TA
ါတေ,1,U+102B U+1010 U+1031,MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER TA | MYANMAR VOWEL SIGN E
ူဘဲ,1,U+1030 U+1018 U+1032,MYANMAR VOWEL SIGN UU | MYANMAR LETTER BHA | MYANMAR VOWEL SIGN AI
ံအု,1,U+1036 U+1021 U+102F,MYANMAR SIGN ANUSVARA | MYANMAR LETTER A | MYANMAR VOWEL SIGN U
အုၚ,1,U+1021 U+102F U+105A,MYANMAR LETTER A | MYANMAR VOWEL SIGN U | MYANMAR LETTER MON NGA
်ဖါ,1,U+103A U+1016 U+102B,MYANMAR SIGN ASAT | MYANMAR LETTER PHA | MYANMAR VOWEL SIGN TALL AA
ဖါန,1,U+1016 U+102B U+1014,MYANMAR LETTER PHA | MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER NA
ေံ၄,1,U+1031 U+1036 U+1044,MYANMAR VOWEL SIGN E | MYANMAR SIGN ANUSVARA | MYANMAR DIGIT FOUR
ံ၄၃,1,U+1036 U+1044 U+1043,MYANMAR SIGN ANUSVARA | MYANMAR DIGIT FOUR | MYANMAR DIGIT THREE
၄၃တ,1,U+1044 U+1043 U+1010,MYANMAR DIGIT FOUR | MYANMAR DIGIT THREE | MYANMAR LETTER TA
်ဖလ,1,U+103A U+1016 U+101C,MYANMAR SIGN ASAT | MYANMAR LETTER PHA | MYANMAR LETTER LA
ဖလူ,1,U+1016 U+101C U+1030,MYANMAR LETTER PHA | MYANMAR LETTER LA | MYANMAR VOWEL SIGN UU
လူတ,1,U+101C U+1030 U+1010,MYANMAR LETTER LA | MYANMAR VOWEL SIGN UU | MYANMAR LETTER TA
်ဖံ,1,U+103A U+1016 U+1036,MYANMAR SIGN ASAT | MYANMAR LETTER PHA | MYANMAR SIGN ANUSVARA
