bigram,count,codepoints,unicode_names
ကွ,474,U+1000 U+103D,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL WA
ကြ,473,U+1000 U+103C,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL RA
ဂက,468,U+1002 U+1000,MYANMAR LETTER GA | MYANMAR LETTER KA
အာ,461,U+1021 U+102C,MYANMAR LETTER A | MYANMAR VOWEL SIGN AA
်ဇ,456,U+103A U+1007,MYANMAR SIGN ASAT | MYANMAR LETTER JA
ပၞ,446,U+1015 U+105E,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MON MEDIAL NA
္ၚ,443,U+1039 U+105A,MYANMAR SIGN VIRAMA | MYANMAR LETTER MON NGA
ဲက,441,U+1032 U+1000,MYANMAR VOWEL SIGN AI | MYANMAR LETTER KA
ိၚ,436,U+102D U+105A,MYANMAR VOWEL SIGN I | MYANMAR LETTER MON NGA
ိက,435,U+102D U+1000,MYANMAR VOWEL SIGN I | MYANMAR LETTER KA
နူ,416,U+1014 U+1030,MYANMAR LETTER NA | MYANMAR VOWEL SIGN UU
ေတ,408,U+1031 U+1010,MYANMAR VOWEL SIGN E | MYANMAR LETTER TA
မံ,407,U+1019 U+1036,MYANMAR LETTER MA | MYANMAR SIGN ANUSVARA
ကု,403,U+1000 U+102F,MYANMAR LETTER KA | MYANMAR VOWEL SIGN U
လဝ,402,U+101C U+101D,MYANMAR LETTER LA | MYANMAR LETTER WA
ာဲ,400,U+102C U+1032,MYANMAR VOWEL SIGN AA | MYANMAR VOWEL SIGN AI
ဟွ,391,U+101F U+103D,MYANMAR LETTER HA | MYANMAR CONSONANT SIGN MEDIAL WA
ာမ,389,U+102C U+1019,MYANMAR VOWEL SIGN AA | MYANMAR LETTER MA
ေံ,377,U+1031 U+1036,MYANMAR VOWEL SIGN E | MYANMAR SIGN ANUSVARA
မွ,375,U+1019 U+103D,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MEDIAL WA
္ဂ,369,U+1039 U+1002,MYANMAR SIGN VIRAMA | MYANMAR LETTER GA
ၞေ,359,U+105E U+1031,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN E
ကျ,358,U+1000 U+103B,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL YA
ၟာ,356,U+105F U+102C,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR VOWEL SIGN AA
သ္,350,U+101E U+1039,MYANMAR LETTER SA | MYANMAR SIGN VIRAMA
ဒး,350,U+1012 U+1038,MYANMAR LETTER DA | MYANMAR SIGN VISARGA
ုန,345,U+102F U+1014,MYANMAR VOWEL SIGN U | MYANMAR LETTER NA
ဂး,342,U+1002 U+1038,MYANMAR LETTER GA | MYANMAR SIGN VISARGA
ွာ,342,U+103D U+102C,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN AA
်၊,339,U+103A U+104A,MYANMAR SIGN ASAT | MYANMAR SIGN LITTLE SECTION
ကူ,338,U+1000 U+1030,MYANMAR LETTER KA | MYANMAR VOWEL SIGN UU
ြိ,337,U+103C U+102D,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN I
္တ,333,U+1039 U+1010,MYANMAR SIGN VIRAMA | MYANMAR LETTER TA
က္,330,U+1000 U+1039,MYANMAR LETTER KA | MYANMAR SIGN VIRAMA
လိ,330,U+101C U+102D,MYANMAR LETTER LA | MYANMAR VOWEL SIGN I
ပရ,328,U+1015 U+101B,MYANMAR LETTER PA | MYANMAR LETTER RA
ၟိ,324,U+105F U+102D,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR VOWEL SIGN I
အခ,323,U+1021 U+1001,MYANMAR LETTER A | MYANMAR LETTER KHA
နာ,321,U+1014 U+102C,MYANMAR LETTER NA | MYANMAR VOWEL SIGN AA
ၠု,317,U+1060 U+102F,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN U
သၟ,310,U+101E U+105F,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MON MEDIAL MA
ၠေ,308,U+1060 U+1031,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN E
ာက,305,U+102C U+1000,MYANMAR VOWEL SIGN AA | MYANMAR LETTER KA
သာ,304,U+101E U+102C,MYANMAR LETTER SA | MYANMAR VOWEL SIGN AA
ဲမ,302,U+1032 U+1019,MYANMAR VOWEL SIGN AI | MYANMAR LETTER MA
ုရ,300,U+102F U+101B,MYANMAR VOWEL SIGN U | MYANMAR LETTER RA
ျာ,299,U+103B U+102C,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN AA
်။,297,U+103A U+104B,MYANMAR SIGN ASAT | MYANMAR SIGN SECTION
ရာ,294,U+101B U+102C,MYANMAR LETTER RA | MYANMAR VOWEL SIGN AA
ခိ,294,U+1001 U+102D,MYANMAR LETTER KHA | MYANMAR VOWEL SIGN I
ၠိ,293,U+1060 U+102D,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN I
မ်,292,U+1019 U+103A,MYANMAR LETTER MA | MYANMAR SIGN ASAT
တၠ,290,U+1010 U+1060,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ုလ,289,U+102F U+101C,MYANMAR VOWEL SIGN U | MYANMAR LETTER LA
ဗၟ,288,U+1017 U+105F,MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MON MEDIAL MA
နွ,287,U+1014 U+103D,MYANMAR LETTER NA | MYANMAR CONSONANT SIGN MEDIAL WA
အရ,284,U+1021 U+101B,MYANMAR LETTER A | MYANMAR LETTER RA
ာပ,281,U+102C U+1015,MYANMAR VOWEL SIGN AA | MYANMAR LETTER PA
ိတ,279,U+102D U+1010,MYANMAR VOWEL SIGN I | MYANMAR LETTER TA
သေ,275,U+101E U+1031,MYANMAR LETTER SA | MYANMAR VOWEL SIGN E
်ခ,271,U+103A U+1001,MYANMAR SIGN ASAT | MYANMAR LETTER KHA
ဂၠ,271,U+1002 U+1060,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ဒေ,271,U+1012 U+1031,MYANMAR LETTER DA | MYANMAR VOWEL SIGN E
ေါ,270,U+1031 U+102B,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN TALL AA
ံဂ,269,U+1036 U+1002,MYANMAR SIGN ANUSVARA | MYANMAR LETTER GA
ဲပ,269,U+1032 U+1015,MYANMAR VOWEL SIGN AI | MYANMAR LETTER PA
ုအ,269,U+102F U+1021,MYANMAR VOWEL SIGN U | MYANMAR LETTER A
ံမ,260,U+1036 U+1019,MYANMAR SIGN ANUSVARA | MYANMAR LETTER MA
ဗွ,257,U+1017 U+103D,MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MEDIAL WA
မာ,256,U+1019 U+102C,MYANMAR LETTER MA | MYANMAR VOWEL SIGN AA
တံ,250,U+1010 U+1036,MYANMAR LETTER TA | MYANMAR SIGN ANUSVARA
သက,249,U+101E U+1000,MYANMAR LETTER SA | MYANMAR LETTER KA
စိ,248,U+1005 U+102D,MYANMAR LETTER CA | MYANMAR VOWEL SIGN I
်ထ,247,U+103A U+1011,MYANMAR SIGN ASAT | MYANMAR LETTER THA
ပိ,240,U+1015 U+102D,MYANMAR LETTER PA | MYANMAR VOWEL SIGN I
ုဂ,239,U+102F U+1002,MYANMAR VOWEL SIGN U | MYANMAR LETTER GA
းဒ,239,U+1038 U+1012,MYANMAR SIGN VISARGA | MYANMAR LETTER DA
ပါ,230,U+1015 U+102B,MYANMAR LETTER PA | MYANMAR VOWEL SIGN TALL AA
ၟံ,230,U+105F U+1036,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR SIGN ANUSVARA
ုဒ,229,U+102F U+1012,MYANMAR VOWEL SIGN U | MYANMAR LETTER DA
်ဝ,229,U+103A U+101D,MYANMAR SIGN ASAT | MYANMAR LETTER WA
မၠ,226,U+1019 U+1060,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ကိ,224,U+1000 U+102D,MYANMAR LETTER KA | MYANMAR VOWEL SIGN I
ကီ,220,U+1000 U+102E,MYANMAR LETTER KA | MYANMAR VOWEL SIGN II
တ္,218,U+1010 U+1039,MYANMAR LETTER TA | MYANMAR SIGN VIRAMA
ရိ,218,U+101B U+102D,MYANMAR LETTER RA | MYANMAR VOWEL SIGN I
ဟီ,217,U+101F U+102E,MYANMAR LETTER HA | MYANMAR VOWEL SIGN II
ံတ,216,U+1036 U+1010,MYANMAR SIGN ANUSVARA | MYANMAR LETTER TA
လ္,215,U+101C U+1039,MYANMAR LETTER LA | MYANMAR SIGN VIRAMA
ေသ,213,U+1031 U+101E,MYANMAR VOWEL SIGN E | MYANMAR LETTER SA
ံပ,213,U+1036 U+1015,MYANMAR SIGN ANUSVARA | MYANMAR LETTER PA
ူမ,212,U+1030 U+1019,MYANMAR VOWEL SIGN UU | MYANMAR LETTER MA
ပြ,211,U+1015 U+103C,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MEDIAL RA
ကမ,210,U+1000 U+1019,MYANMAR LETTER KA | MYANMAR LETTER MA
ာသ,209,U+102C U+101E,MYANMAR VOWEL SIGN AA | MYANMAR LETTER SA
ကာ,208,U+1000 U+102C,MYANMAR LETTER KA | MYANMAR VOWEL SIGN AA
ဲသ,208,U+1032 U+101E,MYANMAR VOWEL SIGN AI | MYANMAR LETTER SA
ဇက,208,U+1007 U+1000,MYANMAR LETTER JA | MYANMAR LETTER KA
ဒၟ,208,U+1012 U+105F,MYANMAR LETTER DA | MYANMAR CONSONANT SIGN MON MEDIAL MA
သွ,207,U+101E U+103D,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MEDIAL WA
ုသ,205,U+102F U+101E,MYANMAR VOWEL SIGN U | MYANMAR LETTER SA
်ဏ,205,U+103A U+100F,MYANMAR SIGN ASAT | MYANMAR LETTER NNA
ဇၞ,203,U+1007 U+105E,MYANMAR LETTER JA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ညိ,202,U+100A U+102D,MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN I
ဲဂ,200,U+1032 U+1002,MYANMAR VOWEL SIGN AI | MYANMAR LETTER GA
အက,199,U+1021 U+1000,MYANMAR LETTER A | MYANMAR LETTER KA
ံသ,198,U+1036 U+101E,MYANMAR SIGN ANUSVARA | MYANMAR LETTER SA
သၞ,198,U+101E U+105E,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ပၠ,198,U+1015 U+1060,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MON MEDIAL LA
းတ,197,U+1038 U+1010,MYANMAR SIGN VISARGA | MYANMAR LETTER TA
တၟ,197,U+1010 U+105F,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL MA
ချ,195,U+1001 U+103B,MYANMAR LETTER KHA | MYANMAR CONSONANT SIGN MEDIAL YA
းက,193,U+1038 U+1000,MYANMAR SIGN VISARGA | MYANMAR LETTER KA
ါန,193,U+102B U+1014,MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER NA
ရး,191,U+101B U+1038,MYANMAR LETTER RA | MYANMAR SIGN VISARGA
