file,cluster_count,raw_text_length,nga_to_mon_nga_replacements,mon_half_stop_removed,mon_full_stop_removed,status
monnews/monnews_20260120_223250_1140.txt,827,2140,0,0,0,ok
monnews/monnews_20260120_223250_2467.txt,651,1542,0,0,0,ok
monnews/monnews_20260120_223250_641.txt,571,1417,0,0,0,ok
monnews/monnews_20260120_223250_46.txt,2012,4787,178,0,0,ok
monnews/monnews_20260120_223250_3394.txt,4582,11218,0,0,0,ok
monnews/monnews_20260120_223250_78.txt,712,1854,0,0,0,ok
monnews/monnews_20260120_223250_2563.txt,786,1984,0,0,0,ok
monnews/monnews_20260120_223250_1669.txt,874,2302,0,0,0,ok
monnews/monnews_20260120_223250_822.txt,1732,4457,0,0,0,ok
monnews/monnews_20260120_223250_2218.txt,1189,3136,0,0,0,ok
monnews/monnews_20260120_223250_1174.txt,410,971,0,0,0,ok
monnews/monnews_20260120_223250_1727.txt,745,1744,0,0,0,ok
monnews/monnews_20260120_223250_899.txt,5109,12480,0,0,0,ok
monnews/monnews_20260120_223250_490.txt,2946,7228,0,0,0,ok
monnews/monnews_20260120_223250_925.txt,803,2057,0,0,0,ok
monnews/monnews_20260120_223250_1524.txt,977,2282,0,0,0,ok
monnews/monnews_20260120_223250_1002.txt,3632,8871,0,0,0,ok
monnews/monnews_20260120_223250_1026.txt,3812,9517,0,0,0,ok
monnews/monnews_20260120_223250_2121.txt,1118,2692,0,0,0,ok
monnews/monnews_20260120_223250_3205.txt,707,1741,0,0,0,ok
monnews/monnews_20260120_223250_929.txt,524,1407,0,0,0,ok
monnews/monnews_20260120_223250_1542.txt,717,1891,0,0,0,ok
monnews/monnews_20260120_223250_403.txt,762,1944,0,0,0,ok
monnews/monnews_20260120_223250_362.txt,926,2252,0,0,0,ok
monnews/monnews_20260120_223250_2037.txt,934,2341,0,0,0,ok
monnews/monnews_20260120_223250_897.txt,595,1444,0,0,0,ok
monnews/monnews_20260120_223250_3350.txt,638,1603,0,0,0,ok
monnews/monnews_20260120_223250_1356.txt,1359,3308,0,0,0,ok
monnews/monnews_20260120_223250_1112.txt,494,1247,0,0,0,ok
monnews/monnews_20260120_223250_2105.txt,1225,2890,0,0,0,ok
monnews/monnews_20260120_223250_3313.txt,640,1582,0,0,0,ok
monnews/monnews_20260120_223250_2462.txt,1005,2489,0,0,0,ok
monnews/monnews_20260120_223250_538.txt,685,1721,0,0,0,ok
monnews/monnews_20260120_223250_2306.txt,612,1571,0,0,0,ok
monnews/monnews_20260120_223250_3246.txt,731,1859,0,0,0,ok
monnews/monnews_20260120_223250_61.txt,829,2194,0,0,0,ok
